"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
2023,"M'Gladbach","Bundesliga","team",27,26.8,53.7,34,374,3060,34,52,39,91,48,4,6,62,3,52.1,47.5,41.2,88.7,518,1168,1.53,1.15,2.68,1.41,2.56,1.53,1.21,2.74,1.4,2.61,"https://fbref.com/en/squads/32f3ee20/Monchengladbach-Stats"
2023,"M'Gladbach","Bundesliga","opponent",27,26.4,46.3,34,374,3060,34,54,37,91,48,6,6,66,6,53.4,48.7,35.1,83.8,600,1349,1.59,1.09,2.68,1.41,2.5,1.57,1.03,2.6,1.43,2.46,"https://fbref.com/en/squads/32f3ee20/Monchengladbach-Stats"
2023,"Mainz 05","Bundesliga","team",27,27,44.8,34,374,3060,34,54,35,89,50,4,6,69,1,47.1,42.4,30,72.4,364,1155,1.59,1.03,2.62,1.47,2.5,1.39,0.88,2.27,1.25,2.13,"https://fbref.com/en/squads/a224b06a/Mainz-05-Stats"
2023,"Mainz 05","Bundesliga","opponent",27,26.6,55.2,34,374,3060,34,55,42,97,51,4,8,72,5,53.6,47.5,39,86.5,595,1279,1.62,1.24,2.85,1.5,2.74,1.58,1.15,2.72,1.4,2.54,"https://fbref.com/en/squads/a224b06a/Mainz-05-Stats"
2023,"Mallorca","La Liga","team",31,27.7,41.1,38,418,3420,38,36,27,63,32,4,5,120,5,35.2,31.1,26.5,57.7,476,948,0.95,0.71,1.66,0.84,1.55,0.93,0.7,1.62,0.82,1.52,"https://fbref.com/en/squads/2aa12281/Mallorca-Stats"
2023,"Mallorca","La Liga","opponent",31,27.4,58.9,38,418,3420,38,43,31,74,37,6,7,94,4,46.4,41,31.8,72.8,795,1706,1.13,0.82,1.95,0.97,1.79,1.22,0.84,2.06,1.08,1.92,"https://fbref.com/en/squads/2aa12281/Mallorca-Stats"
2023,"Manchester City","Premier League","team",24,27.2,64.7,38,418,3420,38,92,69,161,83,9,10,44,1,78.7,71.1,57.6,128.7,987,2073,2.42,1.82,4.24,2.18,4,2.07,1.52,3.59,1.87,3.39,"https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats"
2023,"Manchester City","Premier League","opponent",24,26.6,34.7,38,418,3420,38,32,21,53,29,3,3,80,2,32.1,29.8,23.8,53.5,434,860,0.84,0.55,1.39,0.76,1.32,0.85,0.63,1.47,0.78,1.41,"https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats"
2023,"Manchester Utd","Premier League","team",26,26.9,53.7,38,418,3420,38,56,42,98,53,3,3,78,2,67.7,65.3,52.2,117.5,711,1595,1.47,1.11,2.58,1.39,2.5,1.78,1.37,3.15,1.72,3.09,"https://fbref.com/en/squads/19538871/Manchester-United-Stats"
2023,"Manchester Utd","Premier League","opponent",26,26.4,46,38,418,3420,38,42,28,70,40,2,3,50,0,50.4,48,37.4,85.4,697,1355,1.11,0.74,1.84,1.05,1.79,1.33,0.98,2.31,1.26,2.25,"https://fbref.com/en/squads/19538871/Manchester-United-Stats"
