URL,CURRENT_INTERNATIONAL,CURRENT_MARKET_VALUE
https://www.transfermarkt.com/kobbie-mainoo/profil/spieler/820374,England,€800k
https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306,Portugal,€75.00m
https://www.transfermarkt.com/hannibal/profil/spieler/607224,Tunisia,€8.00m
https://www.transfermarkt.com/marcus-rashford/profil/spieler/258923,England,€80.00m
https://www.transfermarkt.com/jadon-sancho/profil/spieler/401173,England,€45.00m
https://www.transfermarkt.com/alejandro-garnacho/profil/spieler/811779,Argentina,€25.00m
https://www.transfermarkt.com/anthony-elanga/profil/spieler/583189,Sweden,€18.00m
https://www.transfermarkt.com/antony/profil/spieler/602105,Brazil,€60.00m
https://www.transfermarkt.com/amad-diallo/profil/spieler/536835,Cote d'Ivoire,€18.00m
https://www.transfermarkt.com/facundo-pellistri/profil/spieler/676318,Uruguay,€6.00m
https://www.transfermarkt.com/shola-shoretire/profil/spieler/640026,England,€4.00m
https://www.transfermarkt.com/mason-greenwood/profil/spieler/532826,England,-
https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198,Portugal,€15.00m
https://www.transfermarkt.com/anthony-martial/profil/spieler/182877,France,€15.00m
https://www.transfermarkt.com/wout-weghorst/profil/spieler/228645,Netherlands,€12.00m
https://www.transfermarkt.com/charlie-mcneill/profil/spieler/614262,England,€200k
https://www.transfermarkt.com/alisson/profil/spieler/105470,Brazil,€35.00m
https://www.transfermarkt.com/caoimhin-kelleher/profil/spieler/340918,Ireland,€12.00m
https://www.transfermarkt.com/adrian/profil/spieler/71271,Spain,€800k
https://www.transfermarkt.com/harvey-davies/profil/spieler/706815,England,€300k
https://www.transfermarkt.com/ibrahima-konate/profil/spieler/357119,France,€38.00m
https://www.transfermarkt.com/virgil-van-dijk/profil/spieler/139208,Netherlands,€35.00m
https://www.transfermarkt.com/joe-gomez/profil/spieler/256178,England,€22.00m
https://www.transfermarkt.com/joel-matip/profil/spieler/82105,Cameroon,€12.00m
https://www.transfermarkt.com/sepp-van-den-berg/profil/spieler/541231,Netherlands,€5.00m
https://www.transfermarkt.com/nathaniel-phillips/profil/spieler/371814,England,€4.00m
https://www.transfermarkt.com/rhys-williams/profil/spieler/503679,England,€2.00m
https://www.transfermarkt.com/jarell-quansah/profil/spieler/632349,England,€400k
https://www.transfermarkt.com/andrew-robertson/profil/spieler/234803,Scotland,€40.00m
https://www.transfermarkt.com/konstantinos-tsimikas/profil/spieler/338070,Greece,€18.00m
https://www.transfermarkt.com/luke-chambers/profil/spieler/670861,England,€300k
https://www.transfermarkt.com/trent-alexander-arnold/profil/spieler/314353,England,€65.00m
https://www.transfermarkt.com/calvin-ramsay/profil/spieler/633652,Scotland,€5.00m
https://www.transfermarkt.com/fabinho/profil/spieler/225693,Brazil,€42.00m
https://www.transfermarkt.com/stefan-bajcetic/profil/spieler/864799,Spain,€13.00m
https://www.transfermarkt.com/curtis-jones/profil/spieler/433188,England,€22.00m
https://www.transfermarkt.com/thiago/profil/spieler/60444,Spain,€15.00m
https://www.transfermarkt.com/arthur-melo/profil/spieler/362842,Brazil,€15.00m
https://www.transfermarkt.com/naby-keita/profil/spieler/302215,Guinea,€12.00m
https://www.transfermarkt.com/jordan-henderson/profil/spieler/61651,England,€10.00m
https://www.transfermarkt.com/alex-oxlade-chamberlain/profil/spieler/143424,England,€7.00m
https://www.transfermarkt.com/james-milner/profil/spieler/3333,England,€1.50m
https://www.transfermarkt.com/bobby-clark/profil/spieler/712117,England,€350k
https://www.transfermarkt.com/jake-cain/profil/spieler/565420,England,€200k
https://www.transfermarkt.com/harvey-elliott/profil/spieler/565822,England,€35.00m
https://www.transfermarkt.com/fabio-carvalho/profil/spieler/559263,Portugal,€16.00m
https://www.transfermarkt.com/melkamu-frauendorf/profil/spieler/594721,Germany,NA
https://www.transfermarkt.com/luis-diaz/profil/spieler/480692,Colombia,€75.00m
https://www.transfermarkt.com/cody-gakpo/profil/spieler/434675,Netherlands,€55.00m
https://www.transfermarkt.com/diogo-jota/profil/spieler/340950,Portugal,€50.00m
https://www.transfermarkt.com/mohamed-salah/profil/spieler/148455,Egypt,€65.00m
https://www.transfermarkt.com/ben-doak/profil/spieler/719673,Scotland,NA
https://www.transfermarkt.com/darwin-nunez/profil/spieler/546543,Uruguay,€65.00m
https://www.transfermarkt.com/roberto-firmino/profil/spieler/131789,Brazil,€18.00m
https://www.transfermarkt.com/layton-stewart/profil/spieler/580801,England,NA
https://www.transfermarkt.com/hugo-lloris/profil/spieler/17965,France,€3.00m
https://www.transfermarkt.com/fraser-forster/profil/spieler/52570,England,€1.50m
https://www.transfermarkt.com/alfie-whiteman/profil/spieler/282823,England,€500k
https://www.transfermarkt.com/brandon-austin/profil/spieler/428016,England,€300k
https://www.transfermarkt.com/cristian-romero/profil/spieler/355915,Argentina,€60.00m
https://www.transfermarkt.com/eric-dier/profil/spieler/175722,England,€18.00m
https://www.transfermarkt.com/davinson-sanchez/profil/spieler/341429,Colombia,€15.00m
https://www.transfermarkt.com/clement-lenglet/profil/spieler/182904,France,€10.00m
https://www.transfermarkt.com/japhet-tanganga/profil/spieler/346478,England,€7.00m
https://www.transfermarkt.com/ben-davies/profil/spieler/192765,Wales,€15.00m
https://www.transfermarkt.com/pedro-porro/profil/spieler/553875,Spain,€40.00m
https://www.transfermarkt.com/emerson-royal/profil/spieler/476344,Brazil,€20.00m
https://www.transfermarkt.com/djed-spence/profil/spieler/483348,England,€10.00m
https://www.transfermarkt.com/matt-doherty/profil/spieler/171679,Ireland,€5.00m
https://www.transfermarkt.com/oliver-skipp/profil/spieler/406638,England,€15.00m
https://www.transfermarkt.com/harvey-white/profil/spieler/581598,England,€600k
https://www.transfermarkt.com/matthew-craig/profil/spieler/633659,Scotland,NA
https://www.transfermarkt.com/george-abbott/profil/spieler/907215,England,NA
https://www.transfermarkt.com/pierre-emile-hojbjerg/profil/spieler/167799,Denmark,€45.00m
https://www.transfermarkt.com/rodrigo-bentancur/profil/spieler/354362,Uruguay,€40.00m
https://www.transfermarkt.com/yves-bissouma/profil/spieler/410425,Mali,€18.00m
https://www.transfermarkt.com/pape-matar-sarr/profil/spieler/568693,Senegal,€15.00m
https://www.transfermarkt.com/ryan-sessegnon/profil/spieler/392775,England,€18.00m
https://www.transfermarkt.com/ivan-perisic/profil/spieler/42460,Croatia,€7.00m
https://www.transfermarkt.com/alfie-devine/profil/spieler/728734,England,€900k
https://www.transfermarkt.com/yago-santiago/profil/spieler/706947,Spain,NA
https://www.transfermarkt.com/heung-min-son/profil/spieler/91845,"Korea, South",€50.00m
https://www.transfermarkt.com/arnaut-danjuma/profil/spieler/355861,Netherlands,€25.00m
https://www.transfermarkt.com/bryan-gil/profil/spieler/537382,Spain,€15.00m
https://www.transfermarkt.com/dejan-kulusevski/profil/spieler/431755,Sweden,€50.00m
https://www.transfermarkt.com/lucas-moura/profil/spieler/77100,Brazil,€6.00m
https://www.transfermarkt.com/romaine-mundle/profil/spieler/696181,England,€300k
https://www.transfermarkt.com/harry-kane/profil/spieler/132098,England,€90.00m
https://www.transfermarkt.com/richarlison/profil/spieler/378710,Brazil,€48.00m
https://www.transfermarkt.com/nick-pope/profil/spieler/192080,England,€20.00m
https://www.transfermarkt.com/loris-karius/profil/spieler/85864,Germany,€1.20m
https://www.transfermarkt.com/karl-darlow/profil/spieler/99397,England,€1.00m
https://www.transfermarkt.com/mark-gillespie/profil/spieler/142389,England,€300k
https://www.transfermarkt.com/sven-botman/profil/spieler/361093,Netherlands,€45.00m
https://www.transfermarkt.com/fabian-schar/profil/spieler/135343,Switzerland,€10.00m
https://www.transfermarkt.com/jamaal-lascelles/profil/spieler/183318,England,€4.50m
https://www.transfermarkt.com/federico-fernandez/profil/spieler/85475,Argentina,€700k
https://www.transfermarkt.com/ciaran-clark/profil/spieler/98240,Ireland,€600k
https://www.transfermarkt.com/kell-watts/profil/spieler/484389,England,€300k
https://www.transfermarkt.com/matt-targett/profil/spieler/250478,England,€13.00m
https://www.transfermarkt.com/dan-burn/profil/spieler/134270,England,€10.00m
https://www.transfermarkt.com/jamal-lewis/profil/spieler/346018,Northern Ireland,€6.00m
https://www.transfermarkt.com/paul-dummett/profil/spieler/170321,Wales,€1.00m
https://www.transfermarkt.com/kieran-trippier/profil/spieler/95810,England,€11.00m
https://www.transfermarkt.com/emil-krafth/profil/spieler/184528,Sweden,€3.00m
https://www.transfermarkt.com/javier-manquillo/profil/spieler/162029,Spain,€2.50m
https://www.transfermarkt.com/harrison-ashby/profil/spieler/559130,Scotland,€1.00m
https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624,Brazil,€70.00m
https://www.transfermarkt.com/isaac-hayden/profil/spieler/206225,England,€3.50m
https://www.transfermarkt.com/joe-willock/profil/spieler/340329,England,€38.00m
https://www.transfermarkt.com/sean-longstaff/profil/spieler/346707,England,€25.00m
https://www.transfermarkt.com/jonjo-shelvey/profil/spieler/71292,England,€5.00m
https://www.transfermarkt.com/jeff-hendrick/profil/spieler/148262,Ireland,€1.50m
https://www.transfermarkt.com/matty-longstaff/profil/spieler/484387,England,€1.00m
https://www.transfermarkt.com/matt-ritchie/profil/spieler/92469,Scotland,€1.00m
https://www.transfermarkt.com/joelinton/profil/spieler/333241,Brazil,€42.00m
https://www.transfermarkt.com/elliot-anderson/profil/spieler/567576,Scotland,€8.00m
https://www.transfermarkt.com/lewis-miley/profil/spieler/922769,England,NA
https://www.transfermarkt.com/anthony-gordon/profil/spieler/503733,England,€35.00m
https://www.transfermarkt.com/allan-saint-maximin/profil/spieler/272642,France,€32.00m
https://www.transfermarkt.com/ryan-fraser/profil/spieler/146795,Scotland,€6.00m
https://www.transfermarkt.com/miguel-almiron/profil/spieler/272999,Paraguay,€32.00m
https://www.transfermarkt.com/jacob-murphy/profil/spieler/199527,England,€15.00m
https://www.transfermarkt.com/alexander-isak/profil/spieler/349066,Sweden,€70.00m
https://www.transfermarkt.com/callum-wilson/profil/spieler/123682,England,€16.00m
https://www.transfermarkt.com/chris-wood/profil/spieler/108725,New Zealand,€8.00m
https://www.transfermarkt.com/robert-sanchez/profil/spieler/403151,Spain,€22.00m
https://www.transfermarkt.com/jason-steele/profil/spieler/73564,England,€4.00m
https://www.transfermarkt.com/tom-mcgill/profil/spieler/406556,Canada,€600k
https://www.transfermarkt.com/levi-colwill/profil/spieler/614258,England,€30.00m
https://www.transfermarkt.com/adam-webster/profil/spieler/212847,England,€25.00m
https://www.transfermarkt.com/lewis-dunk/profil/spieler/148153,England,€16.00m
https://www.transfermarkt.com/jan-paul-van-hecke/profil/spieler/576314,Netherlands,€5.00m
https://www.transfermarkt.com/ed-turns/profil/spieler/580809,Wales,€350k
https://www.transfermarkt.com/antef-tsoungui/profil/spieler/503858,Belgium,€250k
https://www.transfermarkt.com/odel-offiah/profil/spieler/567597,England,€200k
https://www.transfermarkt.com/pervis-estupinan/profil/spieler/349599,Ecuador,€32.00m
https://www.transfermarkt.com/haydon-roberts/profil/spieler/533523,England,€700k
https://www.transfermarkt.com/james-furlong/profil/spieler/580030,Ireland,€275k
https://www.transfermarkt.com/imari-samuels/profil/spieler/565846,England,€150k
https://www.transfermarkt.com/tariq-lamptey/profil/spieler/504148,Ghana,€12.00m
https://www.transfermarkt.com/joel-veltman/profil/spieler/111195,Netherlands,€10.00m
https://www.transfermarkt.com/moises-caicedo/profil/spieler/687626,Ecuador,€75.00m
https://www.transfermarkt.com/jack-hinshelwood/profil/spieler/867688,England,NA
https://www.transfermarkt.com/jakub-moder/profil/spieler/384461,Poland,€10.00m
https://www.transfermarkt.com/pascal-gross/profil/spieler/82873,Germany,€8.00m
https://www.transfermarkt.com/yasin-ayari/profil/spieler/667287,Sweden,€6.00m
https://www.transfermarkt.com/steven-alzate/profil/spieler/476237,Colombia,€4.00m
https://www.transfermarkt.com/taylor-richards/profil/spieler/484551,England,€400k
https://www.transfermarkt.com/jack-spong/profil/spieler/530916,England,€150k
https://www.transfermarkt.com/jack-hinchy/profil/spieler/854689,England,€100k
https://www.transfermarkt.com/enock-mwepu/profil/spieler/490307,Zambia,-
https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033,Argentina,€65.00m
https://www.transfermarkt.com/facundo-buonanotte/profil/spieler/983989,Argentina,€12.00m
https://www.transfermarkt.com/jeremy-sarmiento/profil/spieler/568005,Ecuador,€5.00m
https://www.transfermarkt.com/adam-lallana/profil/spieler/43530,England,€1.20m
https://www.transfermarkt.com/andy-moran/profil/spieler/724537,Ireland,€300k
https://www.transfermarkt.com/cameron-peupion/profil/spieler/703626,Australia,€150k
https://www.transfermarkt.com/kaoru-mitoma/profil/spieler/504849,Japan,€32.00m
https://www.transfermarkt.com/solly-march/profil/spieler/209212,England,€22.00m
https://www.transfermarkt.com/julio-enciso/profil/spieler/660867,Paraguay,€22.00m
https://www.transfermarkt.com/evan-ferguson/profil/spieler/648046,Ireland,€30.00m
https://www.transfermarkt.com/neal-maupay/profil/spieler/217115,France,€10.00m
https://www.transfermarkt.com/deniz-undav/profil/spieler/339314,Germany,€10.00m
https://www.transfermarkt.com/danny-welbeck/profil/spieler/67063,England,€7.00m
https://www.transfermarkt.com/aaron-connolly/profil/spieler/434207,Ireland,€4.00m
https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873,Argentina,€28.00m
https://www.transfermarkt.com/robin-olsen/profil/spieler/75458,Sweden,€1.50m
https://www.transfermarkt.com/jed-steer/profil/spieler/110867,England,€500k
https://www.transfermarkt.com/viljami-sinisalo/profil/spieler/484838,Finland,€500k
https://www.transfermarkt.com/oliwier-zych/profil/spieler/555074,Poland,€50k
https://www.transfermarkt.com/filip-marschall/profil/spieler/610863,Poland,NA
https://www.transfermarkt.com/james-wright/profil/spieler/712181,England,NA
https://www.transfermarkt.com/ezri-konsa/profil/spieler/413403,England,€25.00m
https://www.transfermarkt.com/tyrone-mings/profil/spieler/253677,England,€22.00m
https://www.transfermarkt.com/diego-carlos/profil/spieler/329145,Brazil,€20.00m
https://www.transfermarkt.com/jan-bednarek/profil/spieler/243028,Poland,€14.00m
https://www.transfermarkt.com/calum-chambers/profil/spieler/215118,England,€8.00m
https://www.transfermarkt.com/kortney-hause/profil/spieler/233124,England,€2.20m
https://www.transfermarkt.com/josh-feeney/profil/spieler/875929,England,€300k
https://www.transfermarkt.com/sil-swinkels/profil/spieler/646710,Netherlands,€150k
https://www.transfermarkt.com/alex-moreno/profil/spieler/193098,Spain,€15.00m
https://www.transfermarkt.com/lucas-digne/profil/spieler/126664,France,€15.00m
https://www.transfermarkt.com/ludwig-augustinsson/profil/spieler/170646,Sweden,€2.50m
https://www.transfermarkt.com/sebastian-revan/profil/spieler/667925,England,NA
https://www.transfermarkt.com/travis-patterson/profil/spieler/874902,England,NA
https://www.transfermarkt.com/matty-cash/profil/spieler/425334,Poland,€25.00m
https://www.transfermarkt.com/ashley-young/profil/spieler/14086,England,€600k
https://www.transfermarkt.com/boubacar-kamara/profil/spieler/394327,France,€30.00m
https://www.transfermarkt.com/leander-dendoncker/profil/spieler/168157,Belgium,€15.00m
https://www.transfermarkt.com/marvelous-nakamba/profil/spieler/324882,Zimbabwe,€4.00m
https://www.transfermarkt.com/lamare-bogarde/profil/spieler/645686,Netherlands,€450k
https://www.transfermarkt.com/jacob-ramsey/profil/spieler/503749,England,€42.00m
https://www.transfermarkt.com/douglas-luiz/profil/spieler/447661,Brazil,€40.00m
https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,Scotland,€27.00m
https://www.transfermarkt.com/morgan-sanson/profil/spieler/174094,France,€6.00m
