"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2023,"Bochum","Bundesliga","Manuel Riemann","GER","GK","33",1988,34,34,3060,34,72,2.12,200,128,68,10,5,19,5,14.7,14,8,3,3,27.3,"https://fbref.com/en/players/9f941969/Manuel-Riemann"
2023,"Bologna","Serie A","Francesco Bardi","ITA","GK","30",1992,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/0acda699/Francesco-Bardi"
2023,"Bologna","Serie A","Łukasz Skorupski","POL","GK","31",1991,37,37,3330,37,49,1.32,161,113,73.9,13,12,12,7,18.9,9,7,2,0,22.2,"https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski"
2023,"Bournemouth","Premier League","Neto","BRA","GK","33",1989,27,27,2385,26.5,39,1.47,138,100,74.6,9,6,12,6,22.2,5,4,0,1,0,"https://fbref.com/en/players/a9dc785c/Neto"
2023,"Bournemouth","Premier League","Mark Travers","IRL","GK","23",1999,12,11,1035,11.5,32,2.78,66,36,54.5,2,0,9,2,18.2,2,2,0,0,0,"https://fbref.com/en/players/fe558029/Mark-Travers"
2023,"Brentford","Premier League","David Raya","ESP","GK","26",1995,38,38,3420,38,46,1.21,197,154,77.7,15,14,9,12,31.6,2,2,0,0,0,"https://fbref.com/en/players/98ea5115/David-Raya"
2023,"Brest","Ligue 1","Marco Bizot","NED","GK","31",1991,37,37,3330,37,54,1.46,176,122,73.3,11,10,16,8,21.6,9,7,2,0,22.2,"https://fbref.com/en/players/3d214e5f/Marco-Bizot"
2023,"Brest","Ligue 1","Joaquín Blázquez","ARG","GK","21",2001,1,1,90,1,0,0,3,3,100,0,1,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/6a9e4913/Joaquin-Blazquez"
2023,"Brighton","Premier League","Robert Sánchez","ESP","GK","24",1997,23,23,2070,23,30,1.3,74,46,66.2,11,5,7,6,26.1,6,5,1,0,16.7,"https://fbref.com/en/players/6a713852/Robert-Sanchez"
2023,"Brighton","Premier League","Jason Steele","ENG","GK","31",1990,15,15,1350,15,23,1.53,57,36,61.4,7,3,5,6,40,2,1,1,0,50,"https://fbref.com/en/players/28300a16/Jason-Steele"
2023,"Celta Vigo","La Liga","Agustín Marchesín","ARG","GK","34",1988,19,19,1710,19,29,1.53,72,42,62.5,5,5,9,6,31.6,4,2,2,0,50,"https://fbref.com/en/players/853b7c48/Agustin-Marchesin"
2023,"Celta Vigo","La Liga","Iván Villar","ESP","GK","25",1997,19,19,1710,19,24,1.26,62,38,66.1,6,5,8,4,21.1,4,3,0,1,0,"https://fbref.com/en/players/cde52ef5/Ivan-Villar"
2023,"Chelsea","Premier League","Kepa Arrizabalaga","ESP","GK","27",1994,29,29,2565,28.5,33,1.16,120,90,73.3,8,9,12,9,31,1,1,0,0,0,"https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga"
