URL,GA,SOTA,SAVES,W,D,L,CS,PKATT_PENALTY,PKA_PENALTY,PKSV_PENALTY,PKM_PENALTY
https://fbref.com/en/players/6a713852/Robert-Sanchez,30.0,74.0,46.0,11,5.0,7.0,6.0,6.0,5.0,1.0,0.0
https://fbref.com/en/players/6a9e4913/Joaquin-Blazquez,0.0,3.0,3.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/6b625ac2/Illan-Meslier,67.0,158.0,92.0,7,9.0,18.0,5.0,3.0,3.0,0.0,0.0
https://fbref.com/en/players/6c4776b1/Jeremias-Ledesma,48.0,179.0,130.0,9,11.0,14.0,12.0,9.0,8.0,1.0,0.0
https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen,18.0,98.0,83.0,28,4.0,6.0,26.0,3.0,3.0,0.0,0.0
https://fbref.com/en/players/73683fa9/Diego-Lopez,4.0,5.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/74419746/Samir-Handanovic,18.0,52.0,35.0,9,0.0,5.0,4.0,1.0,1.0,0.0,0.0
https://fbref.com/en/players/76eca7e2/Wayne-Hennessey,5.0,14.0,9.0,0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario,39.0,134.0,95.0,9,12.0,10.0,7.0,6.0,4.0,1.0,1.0
https://fbref.com/en/players/7956236f/Emiliano-Martinez,38.0,132.0,97.0,17,7.0,12.0,11.0,5.0,4.0,1.0,0.0
https://fbref.com/en/players/79b0d6a0/Rui-Patricio,35.0,108.0,73.0,17,8.0,10.0,13.0,3.0,2.0,1.0,0.0
https://fbref.com/en/players/7a2e46a8/Alisson,43.0,147.0,105.0,19,9.0,9.0,14.0,4.0,2.0,1.0,1.0
https://fbref.com/en/players/7b4de647/Asmir-Begovic,0.0,4.0,4.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/7b5f516f/Francesco-Rossi,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/7ba6d84e/David-de-Gea,43.0,142.0,99.0,23,6.0,9.0,17.0,3.0,2.0,1.0,0.0
https://fbref.com/en/players/7d3e7da6/Sven-Ulreich,2.0,8.0,5.0,3,0.0,0.0,2.0,1.0,0.0,1.0,0.0
https://fbref.com/en/players/7f41ee30/Remy-Riou,8.0,24.0,17.0,2,4.0,0.0,1.0,4.0,4.0,0.0,0.0
https://fbref.com/en/players/834b5c4c/Matz-Sels,59.0,174.0,115.0,9,13.0,16.0,6.0,11.0,10.0,0.0,1.0
https://fbref.com/en/players/853b7c48/Agustin-Marchesin,29.0,72.0,42.0,5,5.0,9.0,6.0,4.0,2.0,2.0,0.0
https://fbref.com/en/players/8608f269/Matis-Carvalho,3.0,8.0,5.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/87436846/Marvin-Schwabe,54.0,129.0,77.0,10,12.0,12.0,6.0,5.0,4.0,1.0,0.0
https://fbref.com/en/players/8778c910/Manuel-Neuer,11.0,44.0,33.0,7,4.0,1.0,4.0,2.0,2.0,0.0,0.0
https://fbref.com/en/players/87b498b0/Joan-Garcia,3.0,4.0,1.0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
