URL,CMP_TOTAL,ATT_TOTAL,TOTDIST_TOTAL,PRGDIST_TOTAL,KP,FINAL_THIRD,PPA,CRSPA
https://fbref.com/en/players/0a0cc13c/Sergio-Leon,138.0,206.0,2143.0,398.0,12.0,5.0,6.0,1.0
https://fbref.com/en/players/0a16eb36/Jordi-Osei-Tutu,150.0,217.0,2287.0,881.0,5.0,11.0,5.0,2.0
https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka,832.0,1176.0,25281.0,18992.0,0.0,20.0,1.0,0.0
https://fbref.com/en/players/0a3d6d2b/Chris-Richards,169.0,203.0,3129.0,991.0,1.0,15.0,0.0,0.0
https://fbref.com/en/players/0a3f6cde/Christopher-Antwi-Adjei,432.0,712.0,6857.0,2576.0,33.0,17.0,30.0,15.0
https://fbref.com/en/players/0a447501/Antonio-Sanabria,524.0,691.0,7116.0,910.0,25.0,34.0,15.0,0.0
https://fbref.com/en/players/0a483542/Giorgos-Kyriakopoulos,618.0,804.0,10334.0,4315.0,23.0,45.0,25.0,15.0
https://fbref.com/en/players/0a63446f/Mickael-Alphonse,448.0,686.0,7834.0,3413.0,11.0,43.0,10.0,5.0
https://fbref.com/en/players/0a69de7b/Kike-Salas,177.0,211.0,3258.0,1273.0,1.0,9.0,1.0,0.0
https://fbref.com/en/players/0a6cb1b1/Harry-Souttar,448.0,555.0,8500.0,3295.0,3.0,39.0,1.0,0.0
https://fbref.com/en/players/0a89e877/Benjamin-Henrichs,1198.0,1538.0,19513.0,5932.0,20.0,92.0,31.0,10.0
https://fbref.com/en/players/0ab1f153/Juan-Cuadrado,1113.0,1323.0,21481.0,5507.0,42.0,62.0,24.0,10.0
https://fbref.com/en/players/0abc51f2/Jorge-Cuenca,334.0,384.0,6357.0,2355.0,1.0,21.0,2.0,0.0
https://fbref.com/en/players/0acda699/Francesco-Bardi,18.0,23.0,548.0,399.0,0.0,1.0,0.0,0.0
https://fbref.com/en/players/0ae4e09a/Roger-Marti,210.0,289.0,2478.0,482.0,14.0,10.0,4.0,2.0
https://fbref.com/en/players/0af4dcf0/Cedric-Bakambu,19.0,23.0,263.0,56.0,2.0,1.0,0.0,0.0
https://fbref.com/en/players/0b2c8585/Raul-Guti,327.0,409.0,4925.0,1368.0,2.0,26.0,6.0,1.0
https://fbref.com/en/players/0b2c9aec/Mitchell-van-Bergen,205.0,303.0,3177.0,1016.0,19.0,11.0,18.0,10.0
https://fbref.com/en/players/0b33f6ad/Mohammed-Salisu,879.0,1196.0,16118.0,7370.0,7.0,80.0,7.0,4.0
https://fbref.com/en/players/0b45a8d7/Semir-Telalovic,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/0b4d8274/Romain-Hamouma,263.0,364.0,3933.0,1204.0,13.0,29.0,8.0,1.0
https://fbref.com/en/players/0b4f388a/Breel-Embolo,307.0,448.0,4498.0,1110.0,28.0,27.0,19.0,0.0
https://fbref.com/en/players/0b5a292a/Mario-Rui,1408.0,1734.0,25486.0,8770.0,46.0,146.0,54.0,17.0
https://fbref.com/en/players/0ba976e4/Ansu-Fati,509.0,609.0,6451.0,1024.0,16.0,23.0,19.0,1.0
https://fbref.com/en/players/0bc4e720/Manu-Vallejo,68.0,89.0,1029.0,232.0,3.0,8.0,3.0,1.0
https://fbref.com/en/players/0bdda685/Dexter-Lembikisa,10.0,13.0,180.0,73.0,0.0,2.0,0.0,0.0
https://fbref.com/en/players/0bdeb013/Cameron-Peupion,3.0,4.0,33.0,1.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/0be276c6/Norbert-Gyomber,621.0,744.0,11217.0,4343.0,3.0,32.0,2.0,1.0
https://fbref.com/en/players/0be95d34/Romain-Del-Castillo,448.0,673.0,7887.0,2950.0,36.0,44.0,36.0,9.0
https://fbref.com/en/players/0bfca6a1/Quentin-Merlin,857.0,1169.0,16268.0,5919.0,34.0,73.0,23.0,13.0
https://fbref.com/en/players/0c61c77c/Dodi-Lukebakio,422.0,613.0,6794.0,1573.0,29.0,18.0,26.0,6.0
https://fbref.com/en/players/0c7a48f8/Piero-Hincapie,1480.0,1798.0,23892.0,7623.0,10.0,66.0,6.0,3.0
https://fbref.com/en/players/0c88efca/Eniss-Shabani,5.0,6.0,72.0,22.0,0.0,2.0,0.0,0.0
https://fbref.com/en/players/0cadc46d/Vedat-Muriqi,472.0,827.0,6327.0,1330.0,21.0,43.0,6.0,0.0
https://fbref.com/en/players/0cbc8baa/Jean-Kevin-Duverne,1059.0,1480.0,18165.0,7953.0,10.0,113.0,14.0,8.0
https://fbref.com/en/players/0cc5f4a5/Lukas-Nmecha,133.0,201.0,1973.0,348.0,6.0,17.0,5.0,0.0
https://fbref.com/en/players/0cd31129/Brennan-Johnson,291.0,505.0,4220.0,809.0,28.0,12.0,18.0,6.0
https://fbref.com/en/players/0cf778df/Chris-Fuhrich,552.0,704.0,8781.0,2032.0,24.0,43.0,21.0,3.0
https://fbref.com/en/players/0d077b88/Mehdi-Bourabia,981.0,1282.0,15009.0,4832.0,37.0,94.0,32.0,10.0
https://fbref.com/en/players/0d422df7/Marco-Silvestri,916.0,1177.0,23603.0,17093.0,0.0,9.0,0.0,0.0
https://fbref.com/en/players/0d55d942/Alexander-Schwolow,567.0,853.0,18860.0,15113.0,1.0,32.0,2.0,0.0
https://fbref.com/en/players/0d7b6576/Elye-Wahi,299.0,440.0,3580.0,635.0,22.0,17.0,6.0,0.0
https://fbref.com/en/players/0d82903c/Alex-Sandro,1081.0,1256.0,19560.0,6667.0,12.0,93.0,9.0,3.0
https://fbref.com/en/players/0d8a37c2/Tobias-Sippel,174.0,260.0,4274.0,3193.0,0.0,3.0,0.0,0.0
https://fbref.com/en/players/0d9b2d31/Pedri,1251.0,1449.0,22516.0,4967.0,42.0,161.0,30.0,2.0
https://fbref.com/en/players/0da6a13e/Theo-Bongonda,329.0,489.0,4564.0,1295.0,20.0,20.0,11.0,4.0
https://fbref.com/en/players/0db169ae/Sandro-Tonali,1185.0,1565.0,21009.0,6485.0,62.0,124.0,29.0,8.0
https://fbref.com/en/players/0db5d2c8/Mathias-Jorgensen,404.0,503.0,6929.0,3051.0,3.0,30.0,0.0,0.0
https://fbref.com/en/players/0def2376/Warren-Bondo,45.0,51.0,720.0,106.0,0.0,2.0,0.0,0.0
https://fbref.com/en/players/0e0102eb/Omar-Marmoush,299.0,458.0,4423.0,987.0,11.0,29.0,14.0,1.0
https://fbref.com/en/players/0e0d6c53/Duccio-DeglInnocenti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/0e12089d/Maxime-Dupe,994.0,1271.0,25377.0,16802.0,0.0,6.0,0.0,0.0
https://fbref.com/en/players/0e46fa2f/Matthis-Abline,76.0,120.0,1316.0,265.0,7.0,8.0,4.0,1.0
https://fbref.com/en/players/0e4fef6e/Lucas-Torro,940.0,1166.0,15141.0,4090.0,9.0,80.0,0.0,0.0
https://fbref.com/en/players/0e5ddc7c/Dani-Gomez,13.0,17.0,196.0,28.0,1.0,1.0,1.0,0.0
https://fbref.com/en/players/0e6bc38c/Eric-Maxim-Choupo-Moting,223.0,290.0,2934.0,827.0,16.0,23.0,12.0,1.0
https://fbref.com/en/players/0e7ccfc4/Sebastien-Corchia,257.0,371.0,4354.0,1895.0,5.0,18.0,7.0,5.0
https://fbref.com/en/players/0e8d7b6c/Ayman-Kari,67.0,74.0,939.0,192.0,1.0,2.0,2.0,0.0
https://fbref.com/en/players/0ed063d6/Yasser-Larouci,621.0,824.0,9416.0,3449.0,17.0,40.0,17.0,8.0
https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,288.0,384.0,4081.0,976.0,8.0,30.0,8.0,2.0
https://fbref.com/en/players/0f134faf/Mathias-Jensen,1088.0,1566.0,21665.0,8457.0,48.0,117.0,38.0,16.0
https://fbref.com/en/players/0f26ffd7/Copete,668.0,880.0,13455.0,5746.0,3.0,61.0,4.0,1.0
https://fbref.com/en/players/0f59a7bf/Anton-Stach,619.0,897.0,9824.0,3597.0,31.0,70.0,25.0,6.0
https://fbref.com/en/players/0f7533cd/Bobby-Reid,636.0,907.0,9625.0,3067.0,19.0,36.0,38.0,10.0
https://fbref.com/en/players/0f8418aa/Ibrahima-Sissoko,489.0,636.0,8178.0,2320.0,11.0,50.0,15.0,3.0
https://fbref.com/en/players/0f86995c/Hianga-Mananga-Mbock,8.0,10.0,146.0,13.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/0fbecd11/Dominik-Kohr,865.0,1183.0,14381.0,4919.0,16.0,111.0,16.0,0.0
https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani,402.0,457.0,7554.0,2029.0,11.0,27.0,6.0,1.0
https://fbref.com/en/players/0fee6bda/Martin-Erlic,1111.0,1295.0,22928.0,7861.0,2.0,48.0,3.0,0.0
https://fbref.com/en/players/0ff630d0/Akim-Zedadka,728.0,929.0,11504.0,3680.0,19.0,43.0,22.0,10.0
https://fbref.com/en/players/10072610/Claudio-Bravo,232.0,392.0,7419.0,5674.0,0.0,5.0,1.0,0.0
https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw,1036.0,1481.0,22964.0,9746.0,12.0,102.0,14.0,1.0
https://fbref.com/en/players/102c9665/Alexsandro-Ribeiro,1148.0,1271.0,20522.0,8054.0,2.0,77.0,2.0,1.0
https://fbref.com/en/players/102e2599/Tommaso-Baldanzi,534.0,647.0,7465.0,1747.0,23.0,38.0,17.0,1.0
https://fbref.com/en/players/104b4ad3/Alberth-Elis,33.0,44.0,405.0,137.0,3.0,2.0,3.0,1.0
https://fbref.com/en/players/10549b49/Sardar-Azmoun,162.0,247.0,2373.0,844.0,14.0,23.0,9.0,0.0
https://fbref.com/en/players/106c142c/Jesus-Vazquez,142.0,171.0,1882.0,677.0,3.0,12.0,3.0,3.0
https://fbref.com/en/players/10745192/Jamie-Bynoe-Gittens,104.0,142.0,1235.0,328.0,2.0,9.0,5.0,0.0
https://fbref.com/en/players/108fe016/Marcos-Antonio,380.0,420.0,5541.0,1381.0,3.0,40.0,2.0,0.0
https://fbref.com/en/players/10a10454/Joe-Rothwell,385.0,457.0,6524.0,1662.0,8.0,34.0,11.0,1.0
https://fbref.com/en/players/10b9fa99/Ethan-Ampadu,1254.0,1548.0,23855.0,9527.0,13.0,106.0,14.0,4.0
https://fbref.com/en/players/10d221cd/Daniel-Iversen,212.0,377.0,5408.0,3761.0,0.0,6.0,0.0,0.0
https://fbref.com/en/players/10dc46f0/Salvatore-Sirigu,28.0,38.0,930.0,572.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/10dd88f9/Gaetan-Perrin,315.0,434.0,5718.0,1802.0,25.0,39.0,18.0,4.0
https://fbref.com/en/players/10e7f486/Rogerio,1644.0,2038.0,28400.0,11170.0,30.0,126.0,47.0,25.0
https://fbref.com/en/players/10ec4169/Alexander-Mighten,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0
https://fbref.com/en/players/10f0fdd3/Jean-Ricner-Bellegarde,952.0,1242.0,16743.0,5003.0,57.0,93.0,49.0,18.0
https://fbref.com/en/players/112521d1/Pedrosa,61.0,76.0,881.0,239.0,5.0,2.0,4.0,2.0
https://fbref.com/en/players/1137759d/Sergi-Canos,23.0,43.0,268.0,76.0,1.0,2.0,1.0,0.0
https://fbref.com/en/players/114bbdee/Loic-Bade,787.0,906.0,15036.0,5158.0,3.0,42.0,0.0,0.0
https://fbref.com/en/players/119b9a8e/Aymeric-Laporte,892.0,964.0,14630.0,4347.0,5.0,87.0,7.0,0.0
https://fbref.com/en/players/11b9265b/Alberto-Moreno,605.0,730.0,9845.0,2768.0,12.0,18.0,24.0,6.0
https://fbref.com/en/players/11f54bd5/Siriki-Dembele,115.0,144.0,1575.0,530.0,12.0,7.0,9.0,3.0
https://fbref.com/en/players/11fd2b75/Omar-Mascarell,1091.0,1270.0,20666.0,6208.0,20.0,101.0,4.0,1.0
https://fbref.com/en/players/11ff3d56/Ibrahima-Diallo,317.0,402.0,4768.0,1064.0,4.0,24.0,2.0,0.0
https://fbref.com/en/players/1237c049/Ivane-Chegra,21.0,40.0,447.0,232.0,1.0,5.0,1.0,0.0
https://fbref.com/en/players/1238a3f9/Davie-Selke,159.0,280.0,1897.0,417.0,13.0,9.0,4.0,0.0
https://fbref.com/en/players/1265a93a/Reece-James,891.0,1051.0,14345.0,4119.0,21.0,60.0,24.0,6.0
https://fbref.com/en/players/12806697/Isak-Hien,775.0,1031.0,16071.0,6179.0,2.0,41.0,3.0,1.0
