URL,SCA_SCA,GCA_GCA
https://fbref.com/en/players/0f7533cd/Bobby-Reid,54.0,3.0
https://fbref.com/en/players/0f8418aa/Ibrahima-Sissoko,32.0,2.0
https://fbref.com/en/players/0f86995c/Hianga-Mananga-Mbock,0.0,0.0
https://fbref.com/en/players/0fbecd11/Dominik-Kohr,54.0,4.0
https://fbref.com/en/players/0fdcef0e/Kristjan-Asllani,22.0,1.0
https://fbref.com/en/players/0fee6bda/Martin-Erlic,10.0,0.0
https://fbref.com/en/players/0ff630d0/Akim-Zedadka,37.0,2.0
https://fbref.com/en/players/10072610/Claudio-Bravo,3.0,0.0
https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw,35.0,3.0
https://fbref.com/en/players/102c9665/Alexsandro-Ribeiro,11.0,0.0
https://fbref.com/en/players/102e2599/Tommaso-Baldanzi,60.0,4.0
https://fbref.com/en/players/104b4ad3/Alberth-Elis,12.0,0.0
https://fbref.com/en/players/10549b49/Sardar-Azmoun,33.0,4.0
https://fbref.com/en/players/106c142c/Jesus-Vazquez,11.0,0.0
https://fbref.com/en/players/10745192/Jamie-Bynoe-Gittens,21.0,9.0
https://fbref.com/en/players/108fe016/Marcos-Antonio,9.0,3.0
https://fbref.com/en/players/10a10454/Joe-Rothwell,24.0,2.0
https://fbref.com/en/players/10b9fa99/Ethan-Ampadu,40.0,4.0
https://fbref.com/en/players/10d221cd/Daniel-Iversen,1.0,0.0
https://fbref.com/en/players/10dc46f0/Salvatore-Sirigu,0.0,0.0
https://fbref.com/en/players/10dd88f9/Gaetan-Perrin,58.0,3.0
https://fbref.com/en/players/10e7f486/Rogerio,74.0,6.0
https://fbref.com/en/players/10ec4169/Alexander-Mighten,0.0,0.0
https://fbref.com/en/players/10f0fdd3/Jean-Ricner-Bellegarde,102.0,13.0
https://fbref.com/en/players/112521d1/Pedrosa,7.0,0.0
https://fbref.com/en/players/1137759d/Sergi-Canos,3.0,0.0
https://fbref.com/en/players/114bbdee/Loic-Bade,4.0,2.0
https://fbref.com/en/players/119b9a8e/Aymeric-Laporte,17.0,0.0
https://fbref.com/en/players/11b9265b/Alberto-Moreno,28.0,2.0
https://fbref.com/en/players/11f54bd5/Siriki-Dembele,26.0,0.0
https://fbref.com/en/players/11fd2b75/Omar-Mascarell,42.0,3.0
https://fbref.com/en/players/11ff3d56/Ibrahima-Diallo,10.0,0.0
https://fbref.com/en/players/1237c049/Ivane-Chegra,5.0,1.0
https://fbref.com/en/players/1238a3f9/Davie-Selke,30.0,4.0
https://fbref.com/en/players/1265a93a/Reece-James,47.0,3.0
https://fbref.com/en/players/12806697/Isak-Hien,18.0,0.0
https://fbref.com/en/players/1295552e/Mert-Muldur,0.0,0.0
https://fbref.com/en/players/129af0db/Alvaro-Morata,48.0,9.0
https://fbref.com/en/players/12c50af5/Denis-Suarez,34.0,1.0
https://fbref.com/en/players/130a7a3f/Samu-Castillejo,63.0,1.0
https://fbref.com/en/players/13203c45/Jerome-Roussillon,22.0,4.0
https://fbref.com/en/players/132a82f1/Wesley-Fofana,15.0,2.0
https://fbref.com/en/players/132ac341/Aridane-Hernandez,12.0,2.0
https://fbref.com/en/players/133faa84/Marcao,0.0,0.0
https://fbref.com/en/players/1361e5bc/Cheick-Konate,7.0,1.0
https://fbref.com/en/players/139560df/Omar-El-Hilali,2.0,0.0
https://fbref.com/en/players/13b44b02/Petar-Stojanovic,49.0,3.0
https://fbref.com/en/players/13d23b29/Antonios-Papadopoulos,0.0,0.0
https://fbref.com/en/players/13ddc856/Takuma-Asano,56.0,8.0
https://fbref.com/en/players/13e0eb29/Samuel-Saiz,6.0,0.0
https://fbref.com/en/players/13ea2544/Mohamed-Camara,12.0,0.0
https://fbref.com/en/players/13fe7b69/Jamie-Leweling,10.0,2.0
https://fbref.com/en/players/1467af0d/Marco-Verratti,83.0,9.0
https://fbref.com/en/players/148e136f/Remy-Cabella,181.0,19.0
https://fbref.com/en/players/149c5f5d/Giuseppe-Pezzella,17.0,3.0
https://fbref.com/en/players/14a7af33/Christian-Gross,23.0,1.0
https://fbref.com/en/players/14ae023f/Martin-Turk,0.0,0.0
https://fbref.com/en/players/14b8fcdf/Daniele-Rugani,1.0,0.0
https://fbref.com/en/players/14d5b7ac/Alejandro-Revuelta-Montero,0.0,0.0
https://fbref.com/en/players/15413fa5/Salih-Ozcan,24.0,1.0
https://fbref.com/en/players/1544f145/Jacob-Ramsey,81.0,11.0
https://fbref.com/en/players/1545cf15/Houboulang-Mendes,9.0,1.0
https://fbref.com/en/players/15937e17/Eray-Comert,12.0,0.0
https://fbref.com/en/players/15944afd/Eliot-Matazo,11.0,0.0
https://fbref.com/en/players/1598599e/Nampalys-Mendy,9.0,0.0
https://fbref.com/en/players/15ab5a2b/Julian-Alvarez,52.0,5.0
https://fbref.com/en/players/15b287da/Daichi-Kamada,85.0,17.0
https://fbref.com/en/players/15d0c248/Luiz-Felipe,7.0,1.0
https://fbref.com/en/players/15ea812b/James-Tarkowski,23.0,2.0
https://fbref.com/en/players/15f24fe7/Sasa-Kalajdzic,9.0,3.0
https://fbref.com/en/players/15f3ec41/Callum-Hudson-Odoi,26.0,2.0
https://fbref.com/en/players/16264a81/Moises-Caicedo,88.0,5.0
https://fbref.com/en/players/162efffd/Rodrigo-De-Paul,88.0,11.0
https://fbref.com/en/players/1633fc8a/Juanpe,15.0,0.0
https://fbref.com/en/players/16463a79/Demba-Seck,14.0,1.0
https://fbref.com/en/players/1657f448/Lautaro-Blanco,23.0,2.0
https://fbref.com/en/players/16657b95/Bryan-Cristante,42.0,7.0
https://fbref.com/en/players/169fd162/Hwang-Hee-chan,30.0,2.0
https://fbref.com/en/players/16aa3654/Takefusa-Kubo,96.0,11.0
https://fbref.com/en/players/16aa7d4c/Brendan-Chardonnet,20.0,1.0
https://fbref.com/en/players/16bb656a/Pawel-Dawidowicz,16.0,1.0
https://fbref.com/en/players/16ceb862/Olivier-Giroud,50.0,6.0
https://fbref.com/en/players/16e9d0ea/Alex-Moreno,54.0,7.0
https://fbref.com/en/players/172e52d8/Pontus-Jansson,2.0,1.0
https://fbref.com/en/players/17376543/Rafal-Gikiewicz,7.0,1.0
https://fbref.com/en/players/175ece4c/Iker-Munoz,3.0,0.0
https://fbref.com/en/players/17695062/Emile-Smith-Rowe,9.0,1.0
https://fbref.com/en/players/1780bb4a/Aaron-Hickey,20.0,2.0
https://fbref.com/en/players/178ae8f8/Diogo-Jota,33.0,5.0
https://fbref.com/en/players/17acc2ed/Marek-Rodak,0.0,0.0
https://fbref.com/en/players/17e25e72/Ruan-Levine,3.0,0.0
https://fbref.com/en/players/17f3620a/Krzysztof-Piatek,53.0,10.0
https://fbref.com/en/players/18017beb/Alvaro-Gimenez,0.0,0.0
https://fbref.com/en/players/1840e36d/Thibaut-Courtois,5.0,0.0
https://fbref.com/en/players/184fe4b2/Williot-Swedberg,1.0,0.0
https://fbref.com/en/players/1866b0f1/Marco-Pasalic,1.0,0.0
https://fbref.com/en/players/1880614f/Cengiz-Under,117.0,9.0
https://fbref.com/en/players/18abe173/Joseph-Aidoo,10.0,0.0
https://fbref.com/en/players/18b896d6/Antonio-Rudiger,18.0,1.0
https://fbref.com/en/players/18b999f4/Neeskens-Kebano,24.0,5.0
https://fbref.com/en/players/18dd3219/Federico-Gatti,19.0,0.0
https://fbref.com/en/players/18ebca4b/Gaetan-Charbonnier,9.0,0.0
https://fbref.com/en/players/19053e31/Sofiane-Diop,64.0,10.0
https://fbref.com/en/players/192c89a6/Braian-Cufre,3.0,0.0
https://fbref.com/en/players/1944818c/Yan-Couto,45.0,4.0
https://fbref.com/en/players/1956b948/Jim-Allevinah,48.0,2.0
https://fbref.com/en/players/1961b2aa/Andre-Gomes,40.0,5.0
https://fbref.com/en/players/19709006/Oscar-Rodriguez-Arnaiz,58.0,2.0
https://fbref.com/en/players/1971591f/Cody-Gakpo,49.0,6.0
https://fbref.com/en/players/197640fd/Timothy-Castagne,51.0,5.0
https://fbref.com/en/players/19a967ab/Ansgar-Knauff,24.0,4.0
https://fbref.com/en/players/19b776e9/Ruben-Sobrino,53.0,5.0
https://fbref.com/en/players/19ba6c6d/Steve-Mounie,37.0,4.0
https://fbref.com/en/players/19c36442/Luis-Milla,47.0,3.0
https://fbref.com/en/players/19cae58d/Gavi,72.0,7.0
https://fbref.com/en/players/19cda00b/Angel-Di-Maria,83.0,7.0
https://fbref.com/en/players/19e4eab9/Rodrigo-Becao,29.0,1.0
https://fbref.com/en/players/1a066e69/Maxime-Esteve,7.0,0.0
