URL,MP_PLAYING,STARTS_PLAYING,MIN_PLAYING,GLS,AST,G+A,G_MINUS_PK,PK,PKATT,CRDY,CRDR,PRGC_PROGRESSION,PRGP_PROGRESSION,PRGR_PROGRESSION
https://fbref.com/en/players/068f4dec/Benat-Turrientes,6,1,106,0,0,0,0,0,0,0,0,0.0,2.0,4.0
https://fbref.com/en/players/06b08c45/Jacopo-Fazzini,21,8,825,0,0,0,0,0,0,4,0,11.0,21.0,40.0
https://fbref.com/en/players/06c48679/Jonathan-Gradit,33,33,2823,1,3,4,1,0,0,7,0,41.0,233.0,9.0
https://fbref.com/en/players/06df8256/Benoit-Badiashile,22,19,1744,3,0,3,3,0,0,5,0,14.0,95.0,2.0
https://fbref.com/en/players/06efa9dc/Sergio-Akieme,29,27,2297,1,0,1,1,0,0,5,0,60.0,58.0,84.0
https://fbref.com/en/players/070a3904/Sergi-Darder,38,38,3320,6,3,9,6,0,0,4,0,111.0,233.0,75.0
https://fbref.com/en/players/0728bebe/Gaetano-Castrovilli,15,7,718,2,1,3,2,0,0,3,0,12.0,14.0,16.0
https://fbref.com/en/players/075fe5a3/Srdjan-Babic,34,33,2998,3,0,3,3,0,0,5,0,21.0,63.0,5.0
https://fbref.com/en/players/07802f7f/Danny-Ings,35,15,1599,8,2,10,6,2,2,4,0,24.0,24.0,90.0
https://fbref.com/en/players/07ace8c3/Rhys-Healey,4,0,64,2,0,2,2,0,0,1,0,1.0,0.0,7.0
https://fbref.com/en/players/07c7eb0c/Anthony-Losilla,31,31,2720,2,2,4,2,0,0,6,1,13.0,93.0,42.0
https://fbref.com/en/players/07d3bfec/Tom-Bischof,11,3,315,0,0,0,0,0,0,0,0,8.0,16.0,12.0
https://fbref.com/en/players/07f8bcc8/Assan-Ceesay,34,20,1812,6,0,6,5,1,1,2,0,21.0,16.0,111.0
https://fbref.com/en/players/0810b6df/Patrick-Pentz,7,7,630,0,0,0,0,0,0,1,0,0.0,0.0,0.0
https://fbref.com/en/players/08511d65/Sergio-Ramos,33,31,2704,2,1,3,2,0,0,3,1,15.0,163.0,10.0
https://fbref.com/en/players/08593525/Diadie-Samassekou,2,1,34,0,0,0,0,0,0,1,0,0.0,1.0,1.0
https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski,34,34,2946,0,1,1,0,0,0,1,0,0.0,0.0,0.0
https://fbref.com/en/players/088ca1bd/Jonathan-Schmid,3,0,41,0,0,0,0,0,0,0,0,1.0,1.0,6.0
https://fbref.com/en/players/089667a5/Lewis-OBrien,13,6,584,1,0,1,1,0,0,2,0,13.0,21.0,3.0
https://fbref.com/en/players/08aa9cd1/Andrea-Pinamonti,32,25,2161,5,0,5,4,1,1,3,1,17.0,29.0,166.0
https://fbref.com/en/players/08eb3b58/Matias-Vina,15,6,513,2,0,2,2,0,0,1,0,12.0,19.0,23.0
https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,38,38,3409,0,0,0,0,0,0,3,0,0.0,0.0,0.0
https://fbref.com/en/players/091c86e2/Felix-Nmecha,30,19,1836,3,5,8,3,0,0,3,0,23.0,86.0,54.0
https://fbref.com/en/players/09538fdb/Kevin-Lasagna,26,17,1572,1,2,3,1,0,0,2,0,36.0,19.0,105.0
https://fbref.com/en/players/0959c2a2/Federico-Valverde,34,29,2502,7,4,11,7,0,0,2,0,70.0,151.0,135.0
https://fbref.com/en/players/095e4199/Arber-Zeneli,23,12,1000,0,2,2,0,0,0,0,0,45.0,51.0,118.0
https://fbref.com/en/players/0967845b/Fabiano-Parisi,33,33,2830,2,0,2,2,0,0,10,1,102.0,154.0,68.0
https://fbref.com/en/players/09899de8/Simone-Romagnoli,7,1,167,0,0,0,0,0,0,0,0,0.0,5.0,0.0
https://fbref.com/en/players/099e666f/Jonjoe-Kenny,29,25,2244,0,1,1,0,0,0,3,0,30.0,98.0,59.0
https://fbref.com/en/players/0a084b35/Josip-Juranovic,12,10,935,2,1,3,1,1,1,0,0,11.0,27.0,33.0
https://fbref.com/en/players/0a0cc13c/Sergio-Leon,29,14,1334,6,1,7,5,1,2,0,1,21.0,22.0,75.0
https://fbref.com/en/players/0a16eb36/Jordi-Osei-Tutu,20,8,749,0,0,0,0,0,0,3,0,25.0,19.0,39.0
https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka,33,33,2908,0,0,0,0,0,0,1,0,0.0,0.0,0.0
https://fbref.com/en/players/0a3d6d2b/Chris-Richards,9,4,447,0,0,0,0,0,0,0,0,4.0,14.0,3.0
https://fbref.com/en/players/0a3f6cde/Christopher-Antwi-Adjei,29,22,1981,3,6,9,3,0,0,2,0,67.0,36.0,231.0
https://fbref.com/en/players/0a447501/Antonio-Sanabria,33,28,2433,12,4,16,11,1,1,4,0,17.0,46.0,139.0
https://fbref.com/en/players/0a483542/Giorgos-Kyriakopoulos,24,17,1470,1,3,4,1,0,0,5,0,38.0,55.0,96.0
https://fbref.com/en/players/0a63446f/Mickael-Alphonse,26,14,1361,0,0,0,0,0,0,2,1,30.0,51.0,34.0
https://fbref.com/en/players/0a69de7b/Kike-Salas,6,4,368,1,1,2,1,0,0,1,1,3.0,14.0,0.0
https://fbref.com/en/players/0a6cb1b1/Harry-Souttar,12,11,992,0,1,1,0,0,0,2,0,6.0,29.0,4.0
https://fbref.com/en/players/0a89e877/Benjamin-Henrichs,30,23,2188,2,2,4,2,0,0,8,0,48.0,109.0,149.0
https://fbref.com/en/players/0ab1f153/Juan-Cuadrado,31,24,2078,1,3,4,1,0,0,6,1,48.0,92.0,125.0
https://fbref.com/en/players/0abc51f2/Jorge-Cuenca,10,5,506,0,0,0,0,0,0,1,0,7.0,26.0,1.0
https://fbref.com/en/players/0acda699/Francesco-Bardi,1,1,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0
https://fbref.com/en/players/0ae4e09a/Roger-Marti,26,16,1294,1,1,2,1,0,0,3,0,15.0,12.0,84.0
https://fbref.com/en/players/0af4dcf0/Cedric-Bakambu,3,0,59,0,1,1,0,0,0,0,0,1.0,0.0,4.0
https://fbref.com/en/players/0b2c8585/Raul-Guti,28,12,1117,0,0,0,0,0,0,1,0,4.0,32.0,17.0
https://fbref.com/en/players/0b2c9aec/Mitchell-van-Bergen,28,6,905,0,1,1,0,0,0,1,0,51.0,21.0,89.0
https://fbref.com/en/players/0b33f6ad/Mohammed-Salisu,22,21,1973,0,1,1,0,0,0,5,0,5.0,82.0,4.0
https://fbref.com/en/players/0b45a8d7/Semir-Telalovic,3,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0
https://fbref.com/en/players/0b4d8274/Romain-Hamouma,19,14,1079,2,2,4,2,0,0,5,2,29.0,47.0,110.0
https://fbref.com/en/players/0b4f388a/Breel-Embolo,32,19,1859,12,2,14,12,0,1,3,0,24.0,52.0,159.0
https://fbref.com/en/players/0b5a292a/Mario-Rui,22,21,1749,0,6,6,0,0,0,2,1,52.0,153.0,97.0
https://fbref.com/en/players/0ba976e4/Ansu-Fati,36,12,1393,7,3,10,7,0,0,3,0,47.0,48.0,178.0
https://fbref.com/en/players/0bc4e720/Manu-Vallejo,7,2,206,0,1,1,0,0,0,0,0,7.0,10.0,25.0
https://fbref.com/en/players/0bdda685/Dexter-Lembikisa,1,0,23,0,0,0,0,0,0,0,0,2.0,3.0,3.0
https://fbref.com/en/players/0bdeb013/Cameron-Peupion,1,0,6,0,0,0,0,0,0,0,0,0.0,0.0,2.0
https://fbref.com/en/players/0be276c6/Norbert-Gyomber,27,23,1740,0,1,1,0,0,0,5,0,5.0,45.0,2.0
