URL,COMPL_STARTS,SUBS_SUBS,UNSUB_SUBS,PPM_TEAM.SUCCESS,ONG_TEAM.SUCCESS,ONGA_TEAM.SUCCESS,PLUS_PER__MINUS__TEAM.SUCCESS
https://fbref.com/en/players/0bfca6a1/Quentin-Merlin,8,2,1,0.96,19.0,28.0,-9.0
https://fbref.com/en/players/0c61c77c/Dodi-Lukebakio,14,5,0,0.81,34.0,55.0,-21.0
https://fbref.com/en/players/0c717ae6/Barcia,0,0,1,,0.0,0.0,0.0
https://fbref.com/en/players/0c7a48f8/Piero-Hincapie,16,3,0,1.6,46.0,32.0,14.0
https://fbref.com/en/players/0c88efca/Eniss-Shabani,0,1,2,0.0,0.0,0.0,0.0
https://fbref.com/en/players/0cadc46d/Vedat-Muriqi,16,1,0,1.4,32.0,35.0,-3.0
https://fbref.com/en/players/0cbc8baa/Jean-Kevin-Duverne,22,7,4,1.24,34.0,39.0,-5.0
https://fbref.com/en/players/0cc5f4a5/Lukas-Nmecha,5,6,2,1.13,13.0,16.0,-3.0
https://fbref.com/en/players/0cd31129/Brennan-Johnson,21,5,0,1.0,30.0,54.0,-24.0
https://fbref.com/en/players/0cf778df/Chris-Fuhrich,1,12,0,0.91,27.0,35.0,-8.0
https://fbref.com/en/players/0d077b88/Mehdi-Bourabia,12,1,1,0.82,28.0,50.0,-22.0
https://fbref.com/en/players/0d422df7/Marco-Silvestri,38,0,0,1.21,47.0,48.0,-1.0
https://fbref.com/en/players/0d55d942/Alexander-Schwolow,22,1,11,0.83,24.0,58.0,-34.0
https://fbref.com/en/players/0d7b6576/Elye-Wahi,9,4,0,1.3,46.0,43.0,3.0
https://fbref.com/en/players/0d82903c/Alex-Sandro,16,4,8,1.92,35.0,20.0,15.0
https://fbref.com/en/players/0d836298/Teddy-Bartouche,0,0,13,,0.0,0.0,0.0
https://fbref.com/en/players/0d85a4e8/Marcus-Bettinelli,0,0,17,,0.0,0.0,0.0
https://fbref.com/en/players/0d8a37c2/Tobias-Sippel,5,1,12,0.67,5.0,12.0,-7.0
https://fbref.com/en/players/0d9b2d31/Pedri,12,4,0,2.62,47.0,9.0,38.0
https://fbref.com/en/players/0da6a13e/Theo-Bongonda,4,7,5,1.19,18.0,25.0,-7.0
https://fbref.com/en/players/0db169ae/Sandro-Tonali,23,4,2,1.82,49.0,36.0,13.0
https://fbref.com/en/players/0db5d2c8/Mathias-Jorgensen,9,7,15,1.83,17.0,15.0,2.0
https://fbref.com/en/players/0def2376/Warren-Bondo,0,4,15,0.75,2.0,2.0,0.0
https://fbref.com/en/players/0df854bb/Kayne-Bonnevie,0,0,7,,0.0,0.0,0.0
https://fbref.com/en/players/0e0102eb/Omar-Marmoush,1,18,1,1.45,24.0,24.0,0.0
https://fbref.com/en/players/0e03a4c7/Diego-Russo,0,0,3,,0.0,0.0,0.0
https://fbref.com/en/players/0e0d6c53/Duccio-DeglInnocenti,0,1,25,0.0,0.0,1.0,-1.0
https://fbref.com/en/players/0e12089d/Maxime-Dupe,38,0,0,1.26,51.0,57.0,-6.0
https://fbref.com/en/players/0e46fa2f/Matthis-Abline,1,22,5,1.69,12.0,14.0,-2.0
https://fbref.com/en/players/0e4fef6e/Lucas-Torro,17,2,1,1.3,24.0,25.0,-1.0
https://fbref.com/en/players/0e5ddc7c/Dani-Gomez,0,8,18,0.38,2.0,1.0,1.0
https://fbref.com/en/players/0e6bc38c/Eric-Maxim-Choupo-Moting,4,5,1,2.16,38.0,13.0,25.0
https://fbref.com/en/players/0e7ccfc4/Sebastien-Corchia,2,16,12,1.14,10.0,16.0,-6.0
https://fbref.com/en/players/0e8d7b6c/Ayman-Kari,0,5,9,2.0,2.0,2.0,0.0
