URL,TOUCHES_TOUCHES,DEF PEN_TOUCHES,DEF 3RD_TOUCHES,MID 3RD_TOUCHES,ATT 3RD_TOUCHES,ATT PEN_TOUCHES,LIVE_TOUCHES,ATT_TAKE,SUCC_TAKE,TKLD_TAKE,CARRIES_CARRIES,TOTDIST_CARRIES,PRGDIST_CARRIES,PRGC_CARRIES,FINAL_THIRD_CARRIES,CPA_CARRIES,MIS_CARRIES,DIS_CARRIES,REC_RECEIVING,PRGR_RECEIVING
https://fbref.com/en/players/05439de2/David-Alaba,1293.0,137.0,531.0,530.0,240.0,22.0,1293.0,4.0,3.0,1.0,779.0,3566.0,2070.0,16.0,24.0,2.0,7.0,5.0,938.0,60.0
https://fbref.com/en/players/054849d2/Iago,948.0,66.0,301.0,396.0,259.0,26.0,948.0,38.0,15.0,19.0,365.0,2231.0,1053.0,27.0,12.0,5.0,26.0,10.0,396.0,49.0
https://fbref.com/en/players/056269d7/Oscar-Mingueza,1032.0,50.0,351.0,490.0,209.0,17.0,1032.0,28.0,14.0,7.0,596.0,3238.0,1751.0,24.0,19.0,2.0,18.0,11.0,649.0,40.0
https://fbref.com/en/players/0562b7f1/Odsonne-Edouard,672.0,25.0,68.0,317.0,293.0,95.0,672.0,46.0,16.0,28.0,354.0,1637.0,633.0,29.0,21.0,21.0,60.0,51.0,479.0,100.0
https://fbref.com/en/players/056d2d95/Christopher-Trimmel,1190.0,63.0,324.0,470.0,405.0,28.0,1190.0,16.0,8.0,5.0,453.0,2299.0,1144.0,34.0,12.0,8.0,12.0,8.0,521.0,80.0
https://fbref.com/en/players/0588a092/Frank-Tsadjout,404.0,11.0,35.0,197.0,176.0,49.0,404.0,19.0,12.0,2.0,209.0,1004.0,415.0,15.0,10.0,5.0,37.0,10.0,299.0,63.0
https://fbref.com/en/players/05ba9d7c/Tanguy-Coulibaly,206.0,2.0,30.0,81.0,101.0,17.0,205.0,22.0,11.0,11.0,126.0,811.0,415.0,14.0,9.0,5.0,7.0,9.0,123.0,38.0
https://fbref.com/en/players/05d548d8/Mats-Hummels,1952.0,185.0,879.0,993.0,89.0,31.0,1952.0,10.0,6.0,4.0,1236.0,6862.0,4009.0,21.0,18.0,0.0,4.0,8.0,1310.0,6.0
https://fbref.com/en/players/05e19d6a/Franck-Kessie,575.0,25.0,110.0,336.0,133.0,25.0,575.0,18.0,9.0,6.0,349.0,1732.0,674.0,14.0,11.0,2.0,23.0,10.0,426.0,43.0
https://fbref.com/en/players/05e2d5ea/Delano-Burgzorg,93.0,1.0,4.0,26.0,64.0,11.0,93.0,13.0,6.0,7.0,67.0,410.0,138.0,4.0,2.0,4.0,13.0,6.0,75.0,24.0
https://fbref.com/en/players/05e8ca6d/Cameron-Archer,15.0,0.0,1.0,8.0,7.0,3.0,15.0,1.0,1.0,0.0,15.0,114.0,72.0,3.0,1.0,1.0,2.0,3.0,13.0,3.0
https://fbref.com/en/players/05f99a4a/Jonathan-Burkardt,180.0,2.0,19.0,65.0,99.0,37.0,179.0,20.0,11.0,8.0,128.0,642.0,257.0,9.0,7.0,6.0,17.0,9.0,139.0,46.0
https://fbref.com/en/players/060606ec/Marco-DAlessandro,141.0,1.0,37.0,55.0,52.0,10.0,141.0,5.0,1.0,3.0,80.0,713.0,329.0,14.0,4.0,5.0,4.0,5.0,89.0,19.0
https://fbref.com/en/players/061266cd/Darlin-Yongwa,451.0,20.0,98.0,167.0,190.0,28.0,451.0,48.0,13.0,32.0,311.0,1862.0,800.0,29.0,16.0,8.0,13.0,10.0,273.0,70.0
https://fbref.com/en/players/061e8e23/Maximilian-Philipp,247.0,6.0,36.0,121.0,95.0,19.0,247.0,12.0,5.0,7.0,140.0,528.0,127.0,6.0,4.0,4.0,11.0,9.0,166.0,30.0
https://fbref.com/en/players/0630eb63/Nemanja-Radonjic,714.0,2.0,47.0,236.0,444.0,90.0,714.0,120.0,50.0,60.0,520.0,4385.0,2110.0,86.0,48.0,52.0,53.0,34.0,568.0,163.0
