URL,2CRDY,FLS,FLD,OFF,CRS,TKLW,PKWON,PKCON,OG,RECOV,WON_AERIAL,LOST_AERIAL
https://fbref.com/en/players/11b9265b/Alberto-Moreno,0,26,9,3,36,12,0.0,0.0,0,62.0,12.0,10.0
https://fbref.com/en/players/11f54bd5/Siriki-Dembele,0,9,11,0,9,7,0.0,0.0,0,33.0,2.0,12.0
https://fbref.com/en/players/11fd2b75/Omar-Mascarell,0,21,17,0,22,26,0.0,0.0,0,157.0,27.0,21.0
https://fbref.com/en/players/11ff3d56/Ibrahima-Diallo,0,18,7,0,4,15,0.0,0.0,0,82.0,15.0,9.0
https://fbref.com/en/players/1237c049/Ivane-Chegra,0,3,3,2,4,3,0.0,0.0,0,12.0,2.0,2.0
https://fbref.com/en/players/1238a3f9/Davie-Selke,0,22,18,7,9,1,1.0,0.0,0,22.0,87.0,72.0
https://fbref.com/en/players/1265a93a/Reece-James,0,9,18,4,91,20,1.0,0.0,0,89.0,23.0,16.0
https://fbref.com/en/players/12806697/Isak-Hien,0,52,23,0,1,36,0.0,0.0,0,229.0,80.0,53.0
https://fbref.com/en/players/1295552e/Mert-Muldur,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
https://fbref.com/en/players/129af0db/Alvaro-Morata,0,39,56,26,4,11,0.0,0.0,0,57.0,53.0,38.0
https://fbref.com/en/players/12c50af5/Denis-Suarez,0,16,14,1,37,20,0.0,0.0,0,49.0,4.0,12.0
https://fbref.com/en/players/130a7a3f/Samu-Castillejo,0,32,40,7,87,12,0.0,0.0,0,66.0,7.0,19.0
https://fbref.com/en/players/13203c45/Jerome-Roussillon,0,13,13,0,36,9,0.0,0.0,0,56.0,7.0,12.0
https://fbref.com/en/players/132a82f1/Wesley-Fofana,0,13,25,1,3,20,0.0,1.0,0,77.0,35.0,23.0
https://fbref.com/en/players/132ac341/Aridane-Hernandez,0,14,12,0,0,15,0.0,0.0,1,107.0,30.0,15.0
https://fbref.com/en/players/133faa84/Marcao,0,5,6,0,0,2,0.0,0.0,0,16.0,8.0,4.0
https://fbref.com/en/players/1361e5bc/Cheick-Konate,0,9,4,0,4,12,0.0,0.0,0,42.0,3.0,5.0
https://fbref.com/en/players/139560df/Omar-El-Hilali,0,0,2,0,2,2,0.0,0.0,0,10.0,2.0,1.0
