CLUB_NAME,PLAYER_NAME,PLAYER_HREF,LEAGUE_NAME,COUNTRY_LEAGUE,CURRENT_INTERNATIONAL,CURRENT_MARKET_VALUE,UrlFBref
Arsenal FC,A. Maitland-Niles,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845,Premier League,England,England,€8.00m,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles
Arsenal FC,M. Ødegaard,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,Premier League,England,Norway,€90.00m,https://fbref.com/en/players/79300479/Martin-Odegaard
Arsenal FC,E. Smith Rowe,https://www.transfermarkt.com/emile-smith-rowe/profil/spieler/392765,Premier League,England,England,€35.00m,https://fbref.com/en/players/17695062/Emile-Smith-Rowe
Arsenal FC,F. Vieira,https://www.transfermarkt.com/fabio-vieira/profil/spieler/537598,Premier League,England,Portugal,€25.00m,https://fbref.com/en/players/6412cc03/Fabio-Vieira
Arsenal FC,E. Nwaneri,https://www.transfermarkt.com/ethan-nwaneri/profil/spieler/890719,Premier League,England,England,,https://fbref.com/en/players/7f94982c/Ethan-Nwaneri
Arsenal FC,G. Martinelli,https://www.transfermarkt.com/gabriel-martinelli/profil/spieler/655488,Premier League,England,Brazil,€80.00m,https://fbref.com/en/players/48a5a5d6/Martinelli
Arsenal FC,L. Trossard,https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028,Premier League,England,Belgium,€35.00m,https://fbref.com/en/players/38ceb24a/Leandro-Trossard
Arsenal FC,C. Sagoe Jr,https://www.transfermarkt.com/charles-sagoe-jr/profil/spieler/796037,Premier League,England,England,,
Arsenal FC,B. Saka,https://www.transfermarkt.com/bukayo-saka/profil/spieler/433177,Premier League,England,England,€120.00m,https://fbref.com/en/players/bc7dc64d/Bukayo-Saka
Arsenal FC,N. Pépé,https://www.transfermarkt.com/nicolas-pepe/profil/spieler/343052,Premier League,England,Cote d'Ivoire,€18.00m,https://fbref.com/en/players/57e3f0c7/Nicolas-Pepe
Arsenal FC,Marquinhos,https://www.transfermarkt.com/marquinhos/profil/spieler/668268,Premier League,England,Brazil,€12.00m,https://fbref.com/en/players/59878425/Marquinhos
Arsenal FC,R. Nelson,https://www.transfermarkt.com/reiss-nelson/profil/spieler/340325,Premier League,England,England,€12.00m,https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson
Arsenal FC,A. Cozier-Duberry,https://www.transfermarkt.com/amario-cozier-duberry/profil/spieler/878150,Premier League,England,England,€300k,
Arsenal FC,Gabriel Jesus,https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205,Premier League,England,Brazil,€75.00m,https://fbref.com/en/players/b66315ae/Gabriel-Jesus
Arsenal FC,E. Nketiah,https://www.transfermarkt.com/eddie-nketiah/profil/spieler/340324,Premier League,England,England,€25.00m,https://fbref.com/en/players/a53649b7/Eddie-Nketiah
Arsenal FC,K. Edwards,https://www.transfermarkt.com/khayon-edwards/profil/spieler/741650,Premier League,England,England,€300k,
Arsenal FC,N. Butler-Oyedeji,https://www.transfermarkt.com/nathan-butler-oyedeji/profil/spieler/638964,Premier League,England,England,€100k,
Chelsea FC,K. Arrizabalaga,https://www.transfermarkt.com/kepa-arrizabalaga/profil/spieler/192279,Premier League,England,Spain,€18.00m,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga
Chelsea FC,E. Mendy,https://www.transfermarkt.com/edouard-mendy/profil/spieler/442531,Premier League,England,Senegal,€12.00m,https://fbref.com/en/players/33887998/Edouard-Mendy
Chelsea FC,G. Slonina,https://www.transfermarkt.com/gabriel-slonina/profil/spieler/656316,Premier League,England,United States,€9.00m,https://fbref.com/en/players/c55a846e/Gaga-Slonina
Chelsea FC,M. Bettinelli,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,Premier League,England,England,€1.50m,https://fbref.com/en/players/0d85a4e8/Marcus-Bettinelli
Chelsea FC,L. Bergström,https://www.transfermarkt.com/lucas-bergstrom/profil/spieler/490606,Premier League,England,Finland,€250k,
Chelsea FC,E. Wady,https://www.transfermarkt.com/ethan-wady/profil/spieler/573132,Premier League,England,United States,,
Chelsea FC,W. Fofana,https://www.transfermarkt.com/wesley-fofana/profil/spieler/475411,Premier League,England,France,€55.00m,https://fbref.com/en/players/132a82f1/Wesley-Fofana
Chelsea FC,B. Badiashile,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603,Premier League,England,France,€40.00m,https://fbref.com/en/players/06df8256/Benoit-Badiashile
Chelsea FC,T. Chalobah,https://www.transfermarkt.com/trevoh-chalobah/profil/spieler/346314,Premier League,England,England,€18.00m,https://fbref.com/en/players/5515376c/Trevoh-Chalobah
Chelsea FC,K. Koulibaly,https://www.transfermarkt.com/kalidou-koulibaly/profil/spieler/93128,Premier League,England,Senegal,€15.00m,https://fbref.com/en/players/da974c7b/Kalidou-Koulibaly
Chelsea FC,E. Ampadu,https://www.transfermarkt.com/ethan-ampadu/profil/spieler/392771,Premier League,England,Wales,€9.00m,https://fbref.com/en/players/10b9fa99/Ethan-Ampadu
Chelsea FC,B. Humphreys,https://www.transfermarkt.com/bashir-humphreys/profil/spieler/612517,Premier League,England,England,€3.00m,
Chelsea FC,T. Silva,https://www.transfermarkt.com/thiago-silva/profil/spieler/29241,Premier League,England,Brazil,€2.00m,https://fbref.com/en/players/86e7deaf/Thiago-Silva
Chelsea FC,A. Gilchrist,https://www.transfermarkt.com/alfie-gilchrist/profil/spieler/790992,Premier League,England,England,,
Chelsea FC,B. Chilwell,https://www.transfermarkt.com/ben-chilwell/profil/spieler/316125,Premier League,England,England,€35.00m,https://fbref.com/en/players/d2424d1b/Ben-Chilwell
Chelsea FC,M. Cucurella,https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857,Premier League,England,Spain,€35.00m,https://fbref.com/en/players/1daec722/Marc-Cucurella
Chelsea FC,L. Hall,https://www.transfermarkt.com/lewis-hall/profil/spieler/670858,Premier League,England,England,€10.00m,https://fbref.com/en/players/da011f18/Lewis-Hall
Chelsea FC,A. Baba,https://www.transfermarkt.com/abdul-rahman-baba/profil/spieler/224884,Premier League,England,Ghana,€1.20m,https://fbref.com/en/players/e4086af3/Baba-Rahman
Chelsea FC,R. James,https://www.transfermarkt.com/reece-james/profil/spieler/472423,Premier League,England,England,€65.00m,https://fbref.com/en/players/1265a93a/Reece-James
Chelsea FC,C. Azpilicueta,https://www.transfermarkt.com/cesar-azpilicueta/profil/spieler/57500,Premier League,England,Spain,€5.00m,https://fbref.com/en/players/53cad200/Cesar-Azpilicueta
Chelsea FC,E. Fernández,https://www.transfermarkt.com/enzo-fernandez/profil/spieler/648195,Premier League,England,Argentina,€80.00m,https://fbref.com/en/players/5ff4ab71/Enzo-Fernandez
Chelsea FC,Jorginho,https://www.transfermarkt.com/jorginho/profil/spieler/102017,Premier League,England,Italy,€25.00m,https://fbref.com/en/players/45db685d/Jorginho
Chelsea FC,D. Zakaria,https://www.transfermarkt.com/denis-zakaria/profil/spieler/334526,Premier League,England,Switzerland,€18.00m,https://fbref.com/en/players/384d58d9/Denis-Zakaria
Chelsea FC,N. Kanté,https://www.transfermarkt.com/ngolo-kante/profil/spieler/225083,Premier League,England,France,€15.00m,https://fbref.com/en/players/b9fbae28/NGolo-Kante
Chelsea FC,M. Kovacic,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,Premier League,England,Croatia,€38.00m,https://fbref.com/en/players/79c0821a/Mateo-Kovacic
Chelsea FC,C. Gallagher,https://www.transfermarkt.com/conor-gallagher/profil/spieler/488362,Premier League,England,England,€32.00m,https://fbref.com/en/players/c2731c10/Conor-Gallagher
Chelsea FC,R. Loftus-Cheek,https://www.transfermarkt.com/ruben-loftus-cheek/profil/spieler/202886,Premier League,England,England,€25.00m,https://fbref.com/en/players/e97fd090/Ruben-Loftus-Cheek
Chelsea FC,C. Chukwuemeka,https://www.transfermarkt.com/carney-chukwuemeka/profil/spieler/659459,Premier League,England,England,€15.00m,https://fbref.com/en/players/b2f9c73e/Carney-Chukwuemeka
Chelsea FC,B. Gilmour,https://www.transfermarkt.com/billy-gilmour/profil/spieler/423744,Premier League,England,Scotland,€12.00m,https://fbref.com/en/players/df10e27c/Billy-Gilmour
Chelsea FC,M. Mount,https://www.transfermarkt.com/mason-mount/profil/spieler/346483,Premier League,England,England,€60.00m,https://fbref.com/en/players/9674002f/Mason-Mount
Chelsea FC,K. Havertz,https://www.transfermarkt.com/kai-havertz/profil/spieler/309400,Premier League,England,Germany,€55.00m,https://fbref.com/en/players/fed7cb61/Kai-Havertz
Chelsea FC,H. Vale,https://www.transfermarkt.com/harvey-vale/profil/spieler/581675,Premier League,England,England,€2.00m,https://fbref.com/en/players/a70182a5/Harvey-Vale
Chelsea FC,O. Hutchinson,https://www.transfermarkt.com/omari-hutchinson/profil/spieler/741238,Premier League,England,Jamaica,€1.00m,https://fbref.com/en/players/bd9553e6/Omari-Hutchinson
Chelsea FC,R. Sterling,https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425,Premier League,England,England,€55.00m,https://fbref.com/en/players/b400bde0/Raheem-Sterling
Chelsea FC,M. Mudryk,https://www.transfermarkt.com/mykhaylo-mudryk/profil/spieler/537860,Premier League,England,Ukraine,€50.00m,https://fbref.com/en/players/049a888d/Mykhailo-Mudryk
Chelsea FC,C. Hudson-Odoi,https://www.transfermarkt.com/callum-hudson-odoi/profil/spieler/392768,Premier League,England,England,€15.00m,https://fbref.com/en/players/15f3ec41/Callum-Hudson-Odoi
Chelsea FC,N. Madueke,https://www.transfermarkt.com/noni-madueke/profil/spieler/503987,Premier League,England,England,€30.00m,https://fbref.com/en/players/bf34eebd/Chukwunonso-Madueke
Chelsea FC,C. Pulisic,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779,Premier League,England,United States,€25.00m,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic
Chelsea FC,H. Ziyech,https://www.transfermarkt.com/hakim-ziyech/profil/spieler/217111,Premier League,England,Morocco,€16.00m,https://fbref.com/en/players/6622454d/Hakim-Ziyech
Chelsea FC,João Félix,https://www.transfermarkt.com/joao-felix/profil/spieler/462250,Premier League,England,Portugal,€50.00m,https://fbref.com/en/players/8aafd64f/Joao-Felix
Chelsea FC,A. Broja,https://www.transfermarkt.com/armando-broja/profil/spieler/571743,Premier League,England,Albania,€28.00m,https://fbref.com/en/players/97220da2/Armando-Broja
Chelsea FC,D. Fofana,https://www.transfermarkt.com/david-datro-fofana/profil/spieler/787232,Premier League,England,Cote d'Ivoire,€10.00m,https://fbref.com/en/players/e82900ef/Datro-Fofana
Chelsea FC,P. Aubameyang,https://www.transfermarkt.com/pierre-emerick-aubameyang/profil/spieler/58864,Premier League,England,Gabon,€4.00m,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
Manchester United,D. Henderson,https://www.transfermarkt.com/dean-henderson/profil/spieler/258919,Premier League,England,England,€18.00m,https://fbref.com/en/players/e5a76dfe/Dean-Henderson
Manchester United,D. de Gea,https://www.transfermarkt.com/david-de-gea/profil/spieler/59377,Premier League,England,Spain,€13.00m,https://fbref.com/en/players/7ba6d84e/David-de-Gea
Manchester United,M. Kovar,https://www.transfermarkt.com/matej-kovar/profil/spieler/550829,Premier League,England,Czech Republic,€1.80m,
Manchester United,M. Dúbravka,https://www.transfermarkt.com/martin-dubravka/profil/spieler/74960,Premier League,England,Slovakia,€1.50m,https://fbref.com/en/players/3a949a25/Martin-Dubravka
Manchester United,J. Butland,https://www.transfermarkt.com/jack-butland/profil/spieler/128899,Premier League,England,England,€1.50m,https://fbref.com/en/players/cc70a1d5/Jack-Butland
Manchester United,T. Heaton,https://www.transfermarkt.com/tom-heaton/profil/spieler/34130,Premier League,England,England,€500k,https://fbref.com/en/players/a6de6361/Tom-Heaton
Manchester United,N. Bishop,https://www.transfermarkt.com/nathan-bishop/profil/spieler/495033,Premier League,England,England,€300k,https://fbref.com/en/players/bf713136/Nathan-Bishop
Manchester United,R. Vitek,https://www.transfermarkt.com/radek-vitek/profil/spieler/622236,Premier League,England,Czech Republic,€150k,
Manchester United,L. Martínez,https://www.transfermarkt.com/lisandro-martinez/profil/spieler/480762,Premier League,England,Argentina,€50.00m,https://fbref.com/en/players/bac46a10/Lisandro-Martinez
Manchester United,R. Varane,https://www.transfermarkt.com/raphael-varane/profil/spieler/164770,Premier League,England,France,€35.00m,https://fbref.com/en/players/9f8e9423/Raphael-Varane
Manchester United,H. Maguire,https://www.transfermarkt.com/harry-maguire/profil/spieler/177907,Premier League,England,England,€20.00m,https://fbref.com/en/players/d8931174/Harry-Maguire
Manchester United,V. Lindelöf,https://www.transfermarkt.com/victor-lindelof/profil/spieler/184573,Premier League,England,Sweden,€18.00m,https://fbref.com/en/players/f5deef4c/Victor-Lindelof
Manchester United,A. Tuanzebe,https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046,Premier League,England,England,€4.50m,https://fbref.com/en/players/2baec6ce/Axel-Tuanzebe
Manchester United,T. Mengi,https://www.transfermarkt.com/teden-mengi/profil/spieler/548470,Premier League,England,England,€2.00m,https://fbref.com/en/players/91748070/Teden-Mengi
Manchester United,P. Jones,https://www.transfermarkt.com/phil-jones/profil/spieler/117996,Premier League,England,England,€1.50m,https://fbref.com/en/players/def899bd/Phil-Jones
Manchester United,T. Fredricson,https://www.transfermarkt.com/tyler-fredricson/profil/spieler/911424,Premier League,England,England,€250k,
Manchester United,R. Bennett,https://www.transfermarkt.com/rhys-bennett/profil/spieler/794816,Premier League,England,England,,
Manchester United,Luke Shaw,https://www.transfermarkt.com/luke-shaw/profil/spieler/183288,Premier League,England,England,€42.00m,https://fbref.com/en/players/9c94165b/Luke-Shaw
Manchester United,T. Malacia,https://www.transfermarkt.com/tyrell-malacia/profil/spieler/339340,Premier League,England,Netherlands,€22.00m,https://fbref.com/en/players/6b6c793c/Tyrell-Malacia
Manchester United,B. Williams,https://www.transfermarkt.com/brandon-williams/profil/spieler/507700,Premier League,England,England,€7.00m,https://fbref.com/en/players/5e74d6c8/Brandon-Williams
Manchester United,Á. Fernandez,https://www.transfermarkt.com/alvaro-fernandez/profil/spieler/811778,Premier League,England,Spain,€7.00m,https://fbref.com/en/players/33a68b9b/Alvaro-Fernandez
Manchester United,D. Dalot,https://www.transfermarkt.com/diogo-dalot/profil/spieler/357147,Premier League,England,Portugal,€40.00m,https://fbref.com/en/players/d9565625/Diogo-Dalot
Manchester United,A. Wan-Bissaka,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,Premier League,England,England,€25.00m,https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka
Manchester United,M. Jurado,https://www.transfermarkt.com/marc-jurado/profil/spieler/709960,Premier League,England,Spain,,
