CLUB_NAME,PLAYER_NAME,PLAYER_HREF,LEAGUE_NAME,COUNTRY_LEAGUE,CURRENT_INTERNATIONAL,CURRENT_MARKET_VALUE
Arsenal FC,L. Trossard,https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028,Premier League,England,Belgium,€35.00m
Arsenal FC,C. Sagoe Jr,https://www.transfermarkt.com/charles-sagoe-jr/profil/spieler/796037,Premier League,England,England,
Arsenal FC,B. Saka,https://www.transfermarkt.com/bukayo-saka/profil/spieler/433177,Premier League,England,England,€120.00m
Arsenal FC,N. Pépé,https://www.transfermarkt.com/nicolas-pepe/profil/spieler/343052,Premier League,England,Cote d'Ivoire,€18.00m
Arsenal FC,Marquinhos,https://www.transfermarkt.com/marquinhos/profil/spieler/668268,Premier League,England,Brazil,€12.00m
Arsenal FC,R. Nelson,https://www.transfermarkt.com/reiss-nelson/profil/spieler/340325,Premier League,England,England,€12.00m
Arsenal FC,A. Cozier-Duberry,https://www.transfermarkt.com/amario-cozier-duberry/profil/spieler/878150,Premier League,England,England,€300k
Arsenal FC,Gabriel Jesus,https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205,Premier League,England,Brazil,€75.00m
Arsenal FC,E. Nketiah,https://www.transfermarkt.com/eddie-nketiah/profil/spieler/340324,Premier League,England,England,€25.00m
Arsenal FC,K. Edwards,https://www.transfermarkt.com/khayon-edwards/profil/spieler/741650,Premier League,England,England,€300k
Arsenal FC,N. Butler-Oyedeji,https://www.transfermarkt.com/nathan-butler-oyedeji/profil/spieler/638964,Premier League,England,England,€100k
Chelsea FC,K. Arrizabalaga,https://www.transfermarkt.com/kepa-arrizabalaga/profil/spieler/192279,Premier League,England,Spain,€18.00m
Chelsea FC,E. Mendy,https://www.transfermarkt.com/edouard-mendy/profil/spieler/442531,Premier League,England,Senegal,€12.00m
Chelsea FC,G. Slonina,https://www.transfermarkt.com/gabriel-slonina/profil/spieler/656316,Premier League,England,United States,€9.00m
Chelsea FC,M. Bettinelli,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,Premier League,England,England,€1.50m
Chelsea FC,L. Bergström,https://www.transfermarkt.com/lucas-bergstrom/profil/spieler/490606,Premier League,England,Finland,€250k
Chelsea FC,E. Wady,https://www.transfermarkt.com/ethan-wady/profil/spieler/573132,Premier League,England,United States,
Chelsea FC,W. Fofana,https://www.transfermarkt.com/wesley-fofana/profil/spieler/475411,Premier League,England,France,€55.00m
Chelsea FC,B. Badiashile,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603,Premier League,England,France,€40.00m
Chelsea FC,T. Chalobah,https://www.transfermarkt.com/trevoh-chalobah/profil/spieler/346314,Premier League,England,England,€18.00m
Chelsea FC,K. Koulibaly,https://www.transfermarkt.com/kalidou-koulibaly/profil/spieler/93128,Premier League,England,Senegal,€15.00m
Chelsea FC,E. Ampadu,https://www.transfermarkt.com/ethan-ampadu/profil/spieler/392771,Premier League,England,Wales,€9.00m
Chelsea FC,B. Humphreys,https://www.transfermarkt.com/bashir-humphreys/profil/spieler/612517,Premier League,England,England,€3.00m
Chelsea FC,T. Silva,https://www.transfermarkt.com/thiago-silva/profil/spieler/29241,Premier League,England,Brazil,€2.00m
Chelsea FC,A. Gilchrist,https://www.transfermarkt.com/alfie-gilchrist/profil/spieler/790992,Premier League,England,England,
Chelsea FC,B. Chilwell,https://www.transfermarkt.com/ben-chilwell/profil/spieler/316125,Premier League,England,England,€35.00m
Chelsea FC,M. Cucurella,https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857,Premier League,England,Spain,€35.00m
Chelsea FC,L. Hall,https://www.transfermarkt.com/lewis-hall/profil/spieler/670858,Premier League,England,England,€10.00m
Chelsea FC,A. Baba,https://www.transfermarkt.com/abdul-rahman-baba/profil/spieler/224884,Premier League,England,Ghana,€1.20m
Chelsea FC,R. James,https://www.transfermarkt.com/reece-james/profil/spieler/472423,Premier League,England,England,€65.00m
Chelsea FC,C. Azpilicueta,https://www.transfermarkt.com/cesar-azpilicueta/profil/spieler/57500,Premier League,England,Spain,€5.00m
Chelsea FC,E. Fernández,https://www.transfermarkt.com/enzo-fernandez/profil/spieler/648195,Premier League,England,Argentina,€80.00m
Chelsea FC,Jorginho,https://www.transfermarkt.com/jorginho/profil/spieler/102017,Premier League,England,Italy,€25.00m
Chelsea FC,D. Zakaria,https://www.transfermarkt.com/denis-zakaria/profil/spieler/334526,Premier League,England,Switzerland,€18.00m
Chelsea FC,N. Kanté,https://www.transfermarkt.com/ngolo-kante/profil/spieler/225083,Premier League,England,France,€15.00m
Chelsea FC,M. Kovacic,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,Premier League,England,Croatia,€38.00m
Chelsea FC,C. Gallagher,https://www.transfermarkt.com/conor-gallagher/profil/spieler/488362,Premier League,England,England,€32.00m
Chelsea FC,R. Loftus-Cheek,https://www.transfermarkt.com/ruben-loftus-cheek/profil/spieler/202886,Premier League,England,England,€25.00m
Chelsea FC,C. Chukwuemeka,https://www.transfermarkt.com/carney-chukwuemeka/profil/spieler/659459,Premier League,England,England,€15.00m
Chelsea FC,B. Gilmour,https://www.transfermarkt.com/billy-gilmour/profil/spieler/423744,Premier League,England,Scotland,€12.00m
Chelsea FC,M. Mount,https://www.transfermarkt.com/mason-mount/profil/spieler/346483,Premier League,England,England,€60.00m
Chelsea FC,K. Havertz,https://www.transfermarkt.com/kai-havertz/profil/spieler/309400,Premier League,England,Germany,€55.00m
Chelsea FC,H. Vale,https://www.transfermarkt.com/harvey-vale/profil/spieler/581675,Premier League,England,England,€2.00m
Chelsea FC,O. Hutchinson,https://www.transfermarkt.com/omari-hutchinson/profil/spieler/741238,Premier League,England,Jamaica,€1.00m
Chelsea FC,R. Sterling,https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425,Premier League,England,England,€55.00m
Chelsea FC,M. Mudryk,https://www.transfermarkt.com/mykhaylo-mudryk/profil/spieler/537860,Premier League,England,Ukraine,€50.00m
Chelsea FC,C. Hudson-Odoi,https://www.transfermarkt.com/callum-hudson-odoi/profil/spieler/392768,Premier League,England,England,€15.00m
Chelsea FC,N. Madueke,https://www.transfermarkt.com/noni-madueke/profil/spieler/503987,Premier League,England,England,€30.00m
Chelsea FC,C. Pulisic,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779,Premier League,England,United States,€25.00m
Chelsea FC,H. Ziyech,https://www.transfermarkt.com/hakim-ziyech/profil/spieler/217111,Premier League,England,Morocco,€16.00m
Chelsea FC,João Félix,https://www.transfermarkt.com/joao-felix/profil/spieler/462250,Premier League,England,Portugal,€50.00m
Chelsea FC,A. Broja,https://www.transfermarkt.com/armando-broja/profil/spieler/571743,Premier League,England,Albania,€28.00m
Chelsea FC,D. Fofana,https://www.transfermarkt.com/david-datro-fofana/profil/spieler/787232,Premier League,England,Cote d'Ivoire,€10.00m
Chelsea FC,P. Aubameyang,https://www.transfermarkt.com/pierre-emerick-aubameyang/profil/spieler/58864,Premier League,England,Gabon,€4.00m
Manchester United,D. Henderson,https://www.transfermarkt.com/dean-henderson/profil/spieler/258919,Premier League,England,England,€18.00m
Manchester United,D. de Gea,https://www.transfermarkt.com/david-de-gea/profil/spieler/59377,Premier League,England,Spain,€13.00m
Manchester United,M. Kovar,https://www.transfermarkt.com/matej-kovar/profil/spieler/550829,Premier League,England,Czech Republic,€1.80m
Manchester United,M. Dúbravka,https://www.transfermarkt.com/martin-dubravka/profil/spieler/74960,Premier League,England,Slovakia,€1.50m
Manchester United,J. Butland,https://www.transfermarkt.com/jack-butland/profil/spieler/128899,Premier League,England,England,€1.50m
Manchester United,T. Heaton,https://www.transfermarkt.com/tom-heaton/profil/spieler/34130,Premier League,England,England,€500k
Manchester United,N. Bishop,https://www.transfermarkt.com/nathan-bishop/profil/spieler/495033,Premier League,England,England,€300k
Manchester United,R. Vitek,https://www.transfermarkt.com/radek-vitek/profil/spieler/622236,Premier League,England,Czech Republic,€150k
Manchester United,L. Martínez,https://www.transfermarkt.com/lisandro-martinez/profil/spieler/480762,Premier League,England,Argentina,€50.00m
Manchester United,R. Varane,https://www.transfermarkt.com/raphael-varane/profil/spieler/164770,Premier League,England,France,€35.00m
Manchester United,H. Maguire,https://www.transfermarkt.com/harry-maguire/profil/spieler/177907,Premier League,England,England,€20.00m
Manchester United,V. Lindelöf,https://www.transfermarkt.com/victor-lindelof/profil/spieler/184573,Premier League,England,Sweden,€18.00m
Manchester United,A. Tuanzebe,https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046,Premier League,England,England,€4.50m
Manchester United,T. Mengi,https://www.transfermarkt.com/teden-mengi/profil/spieler/548470,Premier League,England,England,€2.00m
Manchester United,P. Jones,https://www.transfermarkt.com/phil-jones/profil/spieler/117996,Premier League,England,England,€1.50m
Manchester United,T. Fredricson,https://www.transfermarkt.com/tyler-fredricson/profil/spieler/911424,Premier League,England,England,€250k
Manchester United,R. Bennett,https://www.transfermarkt.com/rhys-bennett/profil/spieler/794816,Premier League,England,England,
Manchester United,Luke Shaw,https://www.transfermarkt.com/luke-shaw/profil/spieler/183288,Premier League,England,England,€42.00m
Manchester United,T. Malacia,https://www.transfermarkt.com/tyrell-malacia/profil/spieler/339340,Premier League,England,Netherlands,€22.00m
Manchester United,B. Williams,https://www.transfermarkt.com/brandon-williams/profil/spieler/507700,Premier League,England,England,€7.00m
Manchester United,Á. Fernandez,https://www.transfermarkt.com/alvaro-fernandez/profil/spieler/811778,Premier League,England,Spain,€7.00m
Manchester United,D. Dalot,https://www.transfermarkt.com/diogo-dalot/profil/spieler/357147,Premier League,England,Portugal,€40.00m
Manchester United,A. Wan-Bissaka,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,Premier League,England,England,€25.00m
Manchester United,M. Jurado,https://www.transfermarkt.com/marc-jurado/profil/spieler/709960,Premier League,England,Spain,
Manchester United,Casemiro,https://www.transfermarkt.com/casemiro/profil/spieler/16306,Premier League,England,Brazil,€40.00m
Manchester United,S. McTominay,https://www.transfermarkt.com/scott-mctominay/profil/spieler/315969,Premier League,England,Scotland,€25.00m
Manchester United,J. Garner,https://www.transfermarkt.com/james-garner/profil/spieler/505219,Premier League,England,England,€14.00m
Manchester United,C. Eriksen,https://www.transfermarkt.com/christian-eriksen/profil/spieler/69633,Premier League,England,Denmark,€22.00m
Manchester United,M. Sabitzer,https://www.transfermarkt.com/marcel-sabitzer/profil/spieler/106987,Premier League,England,Austria,€20.00m
Manchester United,Fred,https://www.transfermarkt.com/fred/profil/spieler/191614,Premier League,England,Brazil,€20.00m
Manchester United,D. van de Beek,https://www.transfermarkt.com/donny-van-de-beek/profil/spieler/288255,Premier League,England,Netherlands,€13.00m
Manchester United,Z. Iqbal,https://www.transfermarkt.com/zidane-iqbal/profil/spieler/686845,Premier League,England,Iraq,€1.00m
Manchester United,K. Mainoo,https://www.transfermarkt.com/kobbie-mainoo/profil/spieler/820374,Premier League,England,England,€800k
Manchester United,B. Fernandes,https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306,Premier League,England,Portugal,€75.00m
Manchester United,Hannibal,https://www.transfermarkt.com/hannibal/profil/spieler/607224,Premier League,England,Tunisia,€8.00m
Manchester United,M. Rashford,https://www.transfermarkt.com/marcus-rashford/profil/spieler/258923,Premier League,England,England,€80.00m
Manchester United,J. Sancho,https://www.transfermarkt.com/jadon-sancho/profil/spieler/401173,Premier League,England,England,€45.00m
Manchester United,A. Garnacho,https://www.transfermarkt.com/alejandro-garnacho/profil/spieler/811779,Premier League,England,Argentina,€25.00m
Manchester United,A. Elanga,https://www.transfermarkt.com/anthony-elanga/profil/spieler/583189,Premier League,England,Sweden,€18.00m
Manchester United,Antony,https://www.transfermarkt.com/antony/profil/spieler/602105,Premier League,England,Brazil,€60.00m
Manchester United,A. Diallo,https://www.transfermarkt.com/amad-diallo/profil/spieler/536835,Premier League,England,Cote d'Ivoire,€18.00m
Manchester United,F. Pellistri,https://www.transfermarkt.com/facundo-pellistri/profil/spieler/676318,Premier League,England,Uruguay,€6.00m
Manchester United,S. Shoretire,https://www.transfermarkt.com/shola-shoretire/profil/spieler/640026,Premier League,England,England,€4.00m
