,CLUB_NAME,CURRENT_INTERNATIONAL,AGE,MIN_PLAYING,DIST_STANDARD,DEF 3RD_TOUCHES,ATT 3RD_TOUCHES,ATT PEN_TOUCHES,ATT_TAKE,TOTDIST_CARRIES,CPA_CARRIES,MIS_CARRIES,SUBS_SUBS,UNSUB_SUBS,PLUS_PER__MINUS__TEAM.SUCCESS,TOTDIST_TOTAL,CRSPA,FLS,FLD,OFF,CRS,WON_AERIAL,LOST_AERIAL,ATT 3RD_TACKLES,LOST_CHALLENGES,PASS_BLOCKS,TKL+INT,YEAR_BIRTH,ID,LEAGUE_COUNTRY_England,LEAGUE_COUNTRY_France,LEAGUE_COUNTRY_Germany,LEAGUE_COUNTRY_Italy,LEAGUE_COUNTRY_Spain,POSITION_Attack - Centre-Forward,POSITION_Attack - Left Winger,POSITION_Attack - Right Winger,POSITION_Attack - Second Striker,POSITION_Defender - Centre-Back,POSITION_Defender - Left-Back,POSITION_Defender - Right-Back,POSITION_midfield - Attacking Midfield,POSITION_midfield - Central Midfield,POSITION_midfield - Defensive Midfield,POSITION_midfield - Left Midfield,POSITION_midfield - Right Midfield,MACRO_POSITION_Attack,MACRO_POSITION_Defense,MACRO_POSITION_Midfield,FOOT_both,FOOT_left,FOOT_right,PLAYER_AGENT_False,PLAYER_AGENT_True,OUTFITTER_False,OUTFITTER_True
286,76,32,0.40909090909090917,0.7747879496928927,0.522184300341297,0.4458174904942966,0.6356968215158925,0.34965034965034963,0.8512396694214877,0.6043922053819981,0.5,0.4588235294117647,0.045454545454545456,0.04,0.14473684210526316,0.4146144191883977,0.5294117647058824,0.4166666666666667,0.6307692307692307,0.0625,0.3448275862068966,0.17391304347826086,0.345679012345679,0.23076923076923078,0.425531914893617,0.9285714285714285,0.6330935251798562,15,341051,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
287,76,32,0.36363636363636376,0.10704884469143024,0.7679180887372015,0.06749049429657794,0.09168704156479218,0.013986013986013986,0.024793388429752067,0.036292401278482316,0.0,0.03529411764705882,0.045454545454545456,0.04,0.42105263157894735,0.054971412634221166,0.23529411764705882,0.016666666666666666,0.0,0.0,0.0896551724137931,0.09782608695652173,0.04938271604938271,0.0,0.02127659574468085,0.047619047619047616,0.07913669064748202,15,324223,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
288,76,7,0.09090909090909094,0.64931266452179,0.8259385665529011,0.2832699619771863,0.21638141809290953,0.006993006993006993,0.4132231404958678,0.44076708939065884,0.0,0.2823529411764706,0.13636363636363635,0.0,0.21052631578947367,0.41319202342769484,0.0,0.4666666666666667,0.7384615384615385,0.0,0.020689655172413793,0.07608695652173914,0.12345679012345678,0.3076923076923077,0.6808510638297872,0.8571428571428571,0.6690647482014389,22,628451,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
289,76,35,0.3181818181818181,0.2392512430535244,0.8737201365187713,0.12167300380228137,0.09046454767726161,0.027972027972027972,0.10743801652892562,0.14898443138467884,0.0,0.18823529411764706,0.3181818181818182,0.48,0.3157894736842105,0.1329800585692372,0.0,0.3,0.1076923076923077,0.0,0.027586206896551724,0.16304347826086957,0.1111111111111111,0.07692307692307693,0.1276595744680851,0.23809523809523808,0.22302158273381295,17,413032,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
290,76,32,0.5,0.985668324071366,0.8293515358361776,0.42490494296577946,0.815403422982885,0.1958041958041958,0.1652892561983471,0.4499432931230024,0.02631578947368421,0.3058823529411765,0.0,0.0,0.026315789473684237,0.8087296053549017,0.9411764705882353,0.5666666666666667,0.2923076923076923,0.0,0.06206896551724138,0.4782608695652174,0.6419753086419753,0.5384615384615385,0.851063829787234,0.47619047619047616,0.8633093525179857,12,181579,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
291,76,3,0.13636363636363646,0.3006727113190991,0.5870307167235496,0.06939163498098859,0.15892420537897312,0.16083916083916083,0.23140495867768596,0.1332096092380658,0.05263157894736842,0.3529411764705882,0.2272727272727273,0.08,0.368421052631579,0.08777018546925114,0.0,0.26666666666666666,0.26153846153846155,0.125,0.027586206896551724,0.07608695652173914,0.3333333333333333,0.07692307692307693,0.3404255319148936,0.21428571428571427,0.07913669064748202,20,748319,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
292,76,81,0.6363636363636365,0.41152383737935067,0.515358361774744,0.12642585551330798,0.41687041564792177,0.25874125874125875,0.4297520661157025,0.397876069697907,0.2631578947368421,0.32941176470588235,0.8181818181818182,0.12,0.21052631578947367,0.224264398270813,0.4117647058823529,0.2833333333333333,0.3076923076923077,0.0625,0.25517241379310346,0.06521739130434782,0.09876543209876543,0.3076923076923077,0.5319148936170213,0.42857142857142855,0.302158273381295,10,130765,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
293,76,70,0.40909090909090917,0.35770693185141855,0.27645051194539255,0.08269961977186312,0.2713936430317848,0.32167832167832167,0.3223140495867769,0.13341581606351172,0.18421052631578946,0.4117647058823529,0.36363636363636365,0.32,0.35526315789473684,0.10015339562125226,0.0,0.16666666666666666,0.2,0.0,0.05517241379310345,0.32608695652173914,0.5308641975308641,0.3076923076923077,0.19148936170212766,0.30952380952380953,0.2949640287769784,14,468198,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
294,76,73,0.5,0.6338110558642879,0.4436860068259386,0.19391634980988592,0.44254278728606355,0.3776223776223776,0.38842975206611574,0.3238478193628209,0.3157894736842105,0.44705882352941173,0.2727272727272727,0.16,0.19736842105263158,0.1659461720819969,0.3529411764705882,0.6833333333333333,0.27692307692307694,0.1875,0.23448275862068965,0.40217391304347827,0.5432098765432098,0.3076923076923077,0.5106382978723404,0.8809523809523809,0.525179856115108,12,186644,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
295,76,62,0.36363636363636376,0.20737057619186897,0.37542662116040965,0.0979087452471483,0.12469437652811736,0.11188811188811189,0.34710743801652894,0.1467161563047737,0.15789473684210525,0.1764705882352941,0.4090909090909091,0.4,0.40789473684210525,0.0726537442476642,0.1764705882352941,0.18333333333333332,0.2923076923076923,0.0625,0.08275862068965517,0.03260869565217391,0.12345679012345678,0.07692307692307693,0.3191489361702128,0.40476190476190477,0.21582733812949642,16,485424,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
