Url,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,PrgC_Progression,PrgP_Progression,PrgR_Progression
https://fbref.com/en/players/4be0b467/Lois-Diony,11,5,506,5.6,1,0,1,1,0,0,1,0,14,11,64
https://fbref.com/en/players/9daeac61/Souleyman-Doumbia,24,21,1790,19.9,0,0,0,0,0,0,2,1,52,58,95
https://fbref.com/en/players/9d420dad/Yahia-Fofana,11,11,990,11,0,0,0,0,0,0,2,0,0,0,0
https://fbref.com/en/players/c5adc293/Faouzi-Ghoulam,7,6,479,5.3,0,0,0,0,0,0,0,0,4,19,20
https://fbref.com/en/players/00891164/Cedric-Hountondji,36,35,3095,34.4,0,0,0,0,0,0,7,0,5,84,1
https://fbref.com/en/players/d14229f3/Adrien-Hunou,34,28,2234,24.8,4,1,5,4,0,0,2,0,34,62,149
https://fbref.com/en/players/96f4ebc0/Marin-Jakolis,1,0,28,0.3,0,0,0,0,0,0,0,0,2,3,2
https://fbref.com/en/players/32e2163d/Justin-Noel-Kalumba,7,7,546,6.1,0,0,0,0,0,0,0,0,9,10,31
https://fbref.com/en/players/70d4c949/Jean-Matteo-Bahoya,10,2,270,3,0,0,0,0,0,0,0,0,9,3,20
https://fbref.com/en/players/890bc029/Jason-Mbock,2,0,25,0.3,0,0,0,0,0,0,0,0,0,1,2
https://fbref.com/en/players/d21e361a/Farid-El-Melali,17,9,806,9,0,0,0,0,0,0,1,0,42,24,54
https://fbref.com/en/players/e472a6f6/Batista-Mendy,35,35,2859,31.8,0,0,0,0,0,0,8,1,27,195,49
https://fbref.com/en/players/46faabfa/Ibrahima-Niane,16,15,1136,12.6,2,0,2,2,0,0,4,0,11,24,57
https://fbref.com/en/players/6b4436ba/Zinedine-Ould-Khaled,4,0,51,0.6,0,0,0,0,0,0,0,0,0,5,2
https://fbref.com/en/players/83299cc0/Azzedine-Ounahi,15,13,1129,12.5,0,0,0,0,0,0,1,0,53,87,77
