Url,Sh_Standard,SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard
https://fbref.com/en/players/531a4aa8/Yan-Valery,13,2,21,0,0,0
https://fbref.com/en/players/67ac5bb8/Gabriel-Dos-Santos,32,9,11.9,0,0,0
https://fbref.com/en/players/47a34c4f/Mohamed-Elneny,0,0,NA,0,0,0
https://fbref.com/en/players/d79a8c87/Rob-Holding,5,2,12.8,0,0,0
https://fbref.com/en/players/b66315ae/Gabriel-Jesus,76,31,10.6,0,1,1
https://fbref.com/en/players/45db685d/Jorginho,6,0,22.3,0,0,0
https://fbref.com/en/players/dc3e663e/Jakub-Kiwior,1,1,10,0,0,0
https://fbref.com/en/players/59878425/Marquinhos,0,0,NA,0,0,0
https://fbref.com/en/players/48a5a5d6/Martinelli,79,30,15.4,2,0,0
https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson,12,7,16.4,1,0,0
https://fbref.com/en/players/a53649b7/Eddie-Nketiah,41,14,11.3,0,0,0
https://fbref.com/en/players/7f94982c/Ethan-Nwaneri,0,0,NA,0,0,0
https://fbref.com/en/players/529f49ab/Thomas-Partey,28,4,20.4,0,0,0
https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale,0,0,NA,0,0,0
https://fbref.com/en/players/bc7dc64d/Bukayo-Saka,86,29,16.3,1,2,3
https://fbref.com/en/players/972aeb2a/William-Saliba,6,3,13.8,0,0,0
https://fbref.com/en/players/1b4f1169/Albert-Sambi-Lokonga,0,0,NA,0,0,0
https://fbref.com/en/players/17695062/Emile-Smith-Rowe,4,1,15.8,0,0,0
https://fbref.com/en/players/839c14e1/Cedric-Soares,0,0,NA,0,0,0
https://fbref.com/en/players/fce2302c/Kieran-Tierney,7,2,23.1,0,0,0
https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu,3,0,12.1,0,0,0
https://fbref.com/en/players/38ceb24a/Leandro-Trossard,17,5,17.5,0,0,0
https://fbref.com/en/players/6412cc03/Fabio-Vieira,15,2,20.1,0,0,0
https://fbref.com/en/players/35e413f1/Ben-White,10,2,16.7,0,0,0
https://fbref.com/en/players/e61b8aee/Granit-Xhaka,40,14,16.6,3,0,0
https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko,28,7,22.7,0,0,0
https://fbref.com/en/players/79300479/Martin-Odegaard,93,31,19.2,9,0,0
https://fbref.com/en/players/05e8ca6d/Cameron-Archer,0,0,NA,0,0,0
https://fbref.com/en/players/9fec8860/Ludwig-Augustinsson,2,1,12.7,0,0,0
https://fbref.com/en/players/3a233281/Leon-Bailey,51,14,18.1,3,0,0
https://fbref.com/en/players/4115ce4e/Jan-Bednarek,0,0,NA,0,0,0
https://fbref.com/en/players/66b76d44/Emi-Buendia,49,11,15.9,2,0,0
https://fbref.com/en/players/b4a014b1/Diego-Carlos,4,0,15.7,0,0,0
https://fbref.com/en/players/2389cdc2/Matty-Cash,7,1,26.9,0,0,0
https://fbref.com/en/players/dc6f5bdd/Calum-Chambers,2,0,21.6,0,0,0
https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,21,8,21.6,2,0,0
https://fbref.com/en/players/5a7301ae/Leander-Dendoncker,2,0,26.9,0,0,0
https://fbref.com/en/players/1b84dbe1/Lucas-Digne,8,3,20.5,4,0,0
https://fbref.com/en/players/414184f7/Jhon-Duran,7,2,19.8,0,0,0
https://fbref.com/en/players/07802f7f/Danny-Ings,25,12,15.5,0,2,2
https://fbref.com/en/players/cc77354e/Boubacar-Kamara,4,1,29.7,0,0,0
https://fbref.com/en/players/0313a347/Ezri-Konsa,8,0,8,0,0,0
https://fbref.com/en/players/6f7d826d/Douglas-Luiz,34,12,25,7,0,0
https://fbref.com/en/players/7956236f/Emiliano-Martinez,0,0,NA,0,0,0
https://fbref.com/en/players/90f91999/John-McGinn,42,11,23.6,0,0,0
https://fbref.com/en/players/8397a50c/Tyrone-Mings,7,2,12.1,0,0,0
https://fbref.com/en/players/16e9d0ea/Alex-Moreno,13,3,18.4,0,0,0
https://fbref.com/en/players/e7ee38c3/Robin-Olsen,0,0,NA,0,0,0
https://fbref.com/en/players/1544f145/Jacob-Ramsey,33,13,15.9,0,0,0
https://fbref.com/en/players/6e7f1353/Morgan-Sanson,0,0,NA,0,0,0
https://fbref.com/en/players/c47541e0/Bertrand-Traore,9,3,16.4,0,0,0
https://fbref.com/en/players/aed3a70f/Ollie-Watkins,84,45,12.6,0,1,2
https://fbref.com/en/players/be927d03/Ashley-Young,15,3,25.1,0,0,0
https://fbref.com/en/players/fe012aca/Jeremie-Boga,13,3,20.2,2,0,0
https://fbref.com/en/players/7f9d956a/Tommaso-De-Nipoti,0,0,NA,0,0,0
https://fbref.com/en/players/e3cceee6/Merih-Demiral,6,1,13.7,0,0,0
https://fbref.com/en/players/6eee05f1/Berat-Djimsiti,5,0,7.6,0,0,0
https://fbref.com/en/players/a9202def/Ederson,36,10,21.3,0,0,0
https://fbref.com/en/players/3b333ac3/Hans-Hateboer,12,4,10.5,0,0,0
https://fbref.com/en/players/491a433d/Rasmus-Hojlund,54,28,12.9,0,0,0
https://fbref.com/en/players/a26fb8aa/Teun-Koopmeiners,55,23,21.9,6,2,4
https://fbref.com/en/players/7c104bb7/Ademola-Lookman,49,23,15.8,1,3,3
https://fbref.com/en/players/921f6058/Jose-Luis-Palomino,6,3,12.6,0,0,0
https://fbref.com/en/players/48d5bd33/Ruslan-Malinovskyi,19,6,25.6,0,0,0
https://fbref.com/en/players/eb2fe5b6/Luis-Muriel,33,8,20.6,4,1,1
https://fbref.com/en/players/a111cf41/Juan-Musso,0,0,NA,0,0,0
https://fbref.com/en/players/c459a650/Joakim-Maehle,26,6,18.5,0,0,0
https://fbref.com/en/players/8ec109e6/Caleb-Okoli,7,2,12.2,0,0,0
https://fbref.com/en/players/e599253a/Mario-Pasalic,32,8,12.1,0,0,0
https://fbref.com/en/players/2a1beb34/Marten-de-Roon,19,5,20.6,0,0,0
https://fbref.com/en/players/7b5f516f/Francesco-Rossi,0,0,NA,0,0,0
https://fbref.com/en/players/ae9898c5/Matteo-Ruggeri,10,1,16.7,0,0,0
https://fbref.com/en/players/1e9aa637/Giorgio-Scalvini,17,4,11.2,0,0,0
https://fbref.com/en/players/28f66c2e/Brandon-Soppy,7,2,18.9,0,0,0
https://fbref.com/en/players/ac4003af/Marco-Sportiello,0,0,NA,0,0,0
https://fbref.com/en/players/c56dc39e/Rafael-Toloi,29,9,13.2,0,0,0
https://fbref.com/en/players/f052fb01/Lukas-Vorlicky,1,1,24.1,0,0,0
https://fbref.com/en/players/d3de9af0/Duvan-Zapata,41,8,15.6,0,0,0
https://fbref.com/en/players/7fe90ccd/Davide-Zappacosta,25,10,16.6,0,0,0
https://fbref.com/en/players/82598b71/Nadir-Zortea,4,3,20.4,0,0,0
https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala,0,0,NA,0,0,0
https://fbref.com/en/players/3ecc11d8/Yeray-Alvarez,8,1,16,0,0,0
https://fbref.com/en/players/1fe67e86/Mikel-Balenziaga,1,0,24.4,0,0,0
https://fbref.com/en/players/b6e50615/Yuri-Berchiche,28,7,20.4,0,0,0
https://fbref.com/en/players/dc1c2fce/Alex-Berenguer,56,19,18,4,0,0
https://fbref.com/en/players/37f1cf47/Ander-Capa,0,0,NA,0,0,0
https://fbref.com/en/players/a461f098/Malcom-Abdulai-Ares-Djalo,3,0,21.3,0,0,0
https://fbref.com/en/players/240d3a0b/Dani-Garcia,9,0,18.2,0,0,0
https://fbref.com/en/players/b418dbd4/Raul-Garcia,52,14,14.6,0,0,0
https://fbref.com/en/players/6b5ea2f4/Gorka-Guruzeta,51,17,12.7,2,0,0
https://fbref.com/en/players/436a9dd0/Ander-Herrera,10,1,20.9,2,0,0
https://fbref.com/en/players/59b7d823/Inigo-Lekue,9,1,26.7,0,0,0
https://fbref.com/en/players/9f323c71/Oscar-de-Marcos,4,2,20.3,0,0,0
https://fbref.com/en/players/3fc45c73/Inigo-Martinez,10,2,15.1,3,0,0
https://fbref.com/en/players/b7d7f3bf/Jon-Morcillo,1,0,10.3,0,0,0
https://fbref.com/en/players/c05dfb74/Iker-Muniain,28,7,18.1,1,0,0
https://fbref.com/en/players/b906757a/Aitor-Paredes,8,3,12.6,0,0,0
https://fbref.com/en/players/bdb624a3/Oihan-Sancet,56,19,17.6,0,2,2
https://fbref.com/en/players/5dcf3e90/Unai-Simon,0,0,NA,0,0,0
https://fbref.com/en/players/4112ace5/Unai-Vencedor-Paris,3,1,16.3,0,0,0
https://fbref.com/en/players/b0fce72c/Mikel-Vesga,25,3,21.9,0,2,3
https://fbref.com/en/players/57be54ec/Asier-Villalibre,4,1,11.6,0,0,0
https://fbref.com/en/players/ab7bf91d/Daniel-Vivian,13,2,12.7,0,0,0
