Url,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success
https://fbref.com/en/players/fce2302c/Kieran-Tierney,2.56,16,10,6
https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu,2.38,17,11,6
https://fbref.com/en/players/38ceb24a/Leandro-Trossard,1.85,29,15,14
https://fbref.com/en/players/4a51ba65/Matt-Turner,NA,NA,NA,NA
https://fbref.com/en/players/6412cc03/Fabio-Vieira,2.09,13,5,8
https://fbref.com/en/players/501ac0cc/Reuell-Walters,NA,NA,NA,NA
https://fbref.com/en/players/35e413f1/Ben-White,2.21,80,35,45
https://fbref.com/en/players/e61b8aee/Granit-Xhaka,2.24,75,35,40
https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko,2.26,54,28,26
https://fbref.com/en/players/79300479/Martin-Odegaard,2.19,82,38,44
https://fbref.com/en/players/05e8ca6d/Cameron-Archer,1.17,0,1,-1
https://fbref.com/en/players/9fec8860/Ludwig-Augustinsson,1.67,1,0,1
https://fbref.com/en/players/3a233281/Leon-Bailey,1.61,27,32,-5
https://fbref.com/en/players/4115ce4e/Jan-Bednarek,1.33,0,1,-1
https://fbref.com/en/players/bca5c4a7/Lamare-Bogarde,NA,NA,NA,NA
https://fbref.com/en/players/66b76d44/Emi-Buendia,1.61,40,34,6
https://fbref.com/en/players/b4a014b1/Diego-Carlos,1,2,3,-1
https://fbref.com/en/players/2389cdc2/Matty-Cash,1.46,28,29,-1
https://fbref.com/en/players/dc6f5bdd/Calum-Chambers,2.07,4,4,0
https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,1.1,9,9,0
https://fbref.com/en/players/5a7301ae/Leander-Dendoncker,1.55,13,11,2
https://fbref.com/en/players/1b84dbe1/Lucas-Digne,1.46,22,25,-3
https://fbref.com/en/players/414184f7/Jhon-Duran,1.42,3,4,-1
https://fbref.com/en/players/07802f7f/Danny-Ings,1.33,9,13,-4
https://fbref.com/en/players/84c5ceea/Tim-Iroegbunam,NA,NA,NA,NA
https://fbref.com/en/players/cc77354e/Boubacar-Kamara,1.63,28,30,-2
https://fbref.com/en/players/0313a347/Ezri-Konsa,1.61,49,45,4
https://fbref.com/en/players/6f7d826d/Douglas-Luiz,1.57,46,33,13
https://fbref.com/en/players/a79abd8b/Filip-Marshall,NA,NA,NA,NA
