Url,Cmp_Total,Att_Total,TotDist_Total,PrgDist_Total,PrgP
https://fbref.com/en/players/38ceb24a/Leandro-Trossard,347,452,5770,1501,57
https://fbref.com/en/players/6412cc03/Fabio-Vieira,234,290,3557,834,35
https://fbref.com/en/players/35e413f1/Ben-White,1888,2242,31271,10700,249
https://fbref.com/en/players/e61b8aee/Granit-Xhaka,1382,1632,22642,5919,196
https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko,1652,1911,27023,7899,227
https://fbref.com/en/players/79300479/Martin-Odegaard,1449,1804,22540,6014,266
https://fbref.com/en/players/05e8ca6d/Cameron-Archer,8,12,108,44,0
https://fbref.com/en/players/9fec8860/Ludwig-Augustinsson,26,43,421,176,0
https://fbref.com/en/players/3a233281/Leon-Bailey,337,547,5379,1285,28
https://fbref.com/en/players/4115ce4e/Jan-Bednarek,60,66,1249,418,5
https://fbref.com/en/players/66b76d44/Emi-Buendia,787,1020,12082,3091,138
https://fbref.com/en/players/b4a014b1/Diego-Carlos,112,142,2338,881,11
https://fbref.com/en/players/2389cdc2/Matty-Cash,777,1006,13672,4595,75
https://fbref.com/en/players/dc6f5bdd/Calum-Chambers,157,207,2924,1310,16
https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,288,384,4081,976,48
https://fbref.com/en/players/5a7301ae/Leander-Dendoncker,248,284,3948,809,18
https://fbref.com/en/players/1b84dbe1/Lucas-Digne,696,927,11016,4245,57
https://fbref.com/en/players/414184f7/Jhon-Duran,16,29,264,47,4
https://fbref.com/en/players/07802f7f/Danny-Ings,114,162,1371,289,12
https://fbref.com/en/players/cc77354e/Boubacar-Kamara,798,941,13161,3895,84
https://fbref.com/en/players/0313a347/Ezri-Konsa,1681,1898,30731,10578,56
https://fbref.com/en/players/6f7d826d/Douglas-Luiz,1494,1812,26492,6527,148
https://fbref.com/en/players/7956236f/Emiliano-Martinez,1026,1388,27095,17857,0
https://fbref.com/en/players/90f91999/John-McGinn,805,1028,14385,4830,140
https://fbref.com/en/players/8397a50c/Tyrone-Mings,1617,1899,30932,11677,111
https://fbref.com/en/players/16e9d0ea/Alex-Moreno,581,745,8535,2588,37
https://fbref.com/en/players/e7ee38c3/Robin-Olsen,74,131,2049,1522,0
https://fbref.com/en/players/1544f145/Jacob-Ramsey,728,889,10240,2665,98
https://fbref.com/en/players/6e7f1353/Morgan-Sanson,5,7,55,12,1
https://fbref.com/en/players/c47541e0/Bertrand-Traore,59,75,868,258,9
https://fbref.com/en/players/aed3a70f/Ollie-Watkins,391,566,4682,840,39
https://fbref.com/en/players/be927d03/Ashley-Young,897,1188,16006,6166,107
https://fbref.com/en/players/fe012aca/Jeremie-Boga,381,475,5908,1552,53
https://fbref.com/en/players/7f9d956a/Tommaso-De-Nipoti,3,5,85,20,1
https://fbref.com/en/players/e3cceee6/Merih-Demiral,560,653,10454,2949,26
https://fbref.com/en/players/6eee05f1/Berat-Djimsiti,953,1093,16622,5292,45
https://fbref.com/en/players/a9202def/Ederson,884,1091,15666,4516,93
https://fbref.com/en/players/3b333ac3/Hans-Hateboer,560,702,8088,2850,55
https://fbref.com/en/players/491a433d/Rasmus-Hojlund,318,435,4078,574,37
https://fbref.com/en/players/a26fb8aa/Teun-Koopmeiners,1271,1727,23257,8953,186
https://fbref.com/en/players/7c104bb7/Ademola-Lookman,492,649,6802,2025,79
https://fbref.com/en/players/921f6058/Jose-Luis-Palomino,428,518,7998,2928,29
https://fbref.com/en/players/48d5bd33/Ruslan-Malinovskyi,248,332,4851,1645,50
https://fbref.com/en/players/eb2fe5b6/Luis-Muriel,354,539,6248,1973,71
https://fbref.com/en/players/a111cf41/Juan-Musso,513,705,14449,10079,0
